dataset,seed,alpha,safe_oracle_gain,ci_lower,ci_upper,safe_beneficial_subject_rate
hmc,0,0.1,0.024642857142857136,0.011309523809523802,0.04226488095238093,0.4857142857142857
hmc,0,0.2,0.027142857142857135,0.013092261904761902,0.04547916666666664,0.5428571428571428
hmc,1,0.1,0.0225,0.011544642857142854,0.034642857142857135,0.5142857142857142
hmc,1,0.2,0.0225,0.011785714285714288,0.03524107142857141,0.5142857142857142
hmc,2,0.1,0.0169047619047619,0.008571428571428568,0.02654761904761905,0.5714285714285714
hmc,2,0.2,0.0169047619047619,0.008571428571428572,0.026547619047619053,0.5714285714285714
hmc,3,0.1,0.014880952380952385,0.005473214285714289,0.02619047619047619,0.42857142857142855
hmc,3,0.2,0.01535714285714286,0.0060714285714285705,0.02761904761904762,0.45714285714285713
hmc,4,0.1,0.005833333333333332,0.0022619047619047636,0.010000000000000002,0.34285714285714286
hmc,4,0.2,0.006666666666666665,0.002976190476190475,0.010952380952380951,0.4
eegmmidb,0,0.1,0.011944444444444442,0.006111111111111108,0.019444444444444438,0.4
eegmmidb,0,0.2,0.012499999999999994,0.006388888888888888,0.020277777777777766,0.43333333333333335
eegmmidb,1,0.1,0.01277777777777777,0.0072222222222222115,0.01888888888888889,0.43333333333333335
eegmmidb,1,0.2,0.01277777777777777,0.00720833333333332,0.019444444444444434,0.43333333333333335
eegmmidb,2,0.1,0.007222222222222226,0.0033333333333333327,0.012222222222222226,0.3
eegmmidb,2,0.2,0.007222222222222226,0.0033333333333333288,0.01222222222222223,0.3
eegmmidb,3,0.1,0.011111111111111112,0.004999999999999995,0.018333333333333333,0.3333333333333333
eegmmidb,3,0.2,0.011111111111111112,0.004999999999999999,0.018347222222222157,0.3333333333333333
eegmmidb,4,0.1,0.01683479532163743,0.008918128654970766,0.026249999999999996,0.43333333333333335
eegmmidb,4,0.2,0.01683479532163743,0.008391081871345034,0.02686677631578946,0.43333333333333335
