seed,task,TFFormer,LiteBN,delta_vs_LiteBN_pp,benchmark,delta_vs_benchmark_pp,PASS
0,OpenBMI_ERP,0.8498051948051948,0.8465454545454545,0.3259740259740288,0.8557,-0.589480519480523,False
0,OpenBMI_MI,0.7415714285714285,0.7448571428571429,-0.3285714285714297,0.7555,-1.39285714285714,False
0,OpenBMI_SSVEP,0.9142857142857144,0.907,0.728571428571434,0.9234,-0.911428571428563,False
0,WBCIC_MI,0.7958000000000001,0.7922,0.3599999999999992,0.7918,0.4000000000000114,True
1,OpenBMI_ERP,0.8460303030303029,0.8445064935064935,0.1523809523809514,0.8557,-0.9669696969697106,False
1,OpenBMI_MI,0.7534285714285714,0.7507142857142857,0.2714285714285693,0.7555,-0.2071428571428502,False
1,OpenBMI_SSVEP,0.9109999999999998,0.911285714285714,-0.0285714285714301,0.9234,-1.2400000000000189,False
1,WBCIC_MI,0.7981,0.7965,0.1599999999999968,0.7918,0.6300000000000083,True
2,OpenBMI_ERP,0.8525324675324677,0.8528484848484847,-0.0316017316017285,0.8557,-0.3167532467532319,False
2,OpenBMI_MI,0.7497142857142859,0.7515714285714284,-0.1857142857142866,0.7555,-0.5785714285714061,False
2,OpenBMI_SSVEP,0.9134285714285711,0.9124285714285716,0.0999999999999977,0.9234,-0.9971428571428852,False
2,WBCIC_MI,0.7950999999999999,0.7933,0.179999999999999,0.7918,0.3299999999999969,True
