benchmark,family_id,method_id,subjects,mean_subject_BA,mean_subject_NLL,Delta_BA,positive_subject_fraction,nonnegative_subject_fraction,harmful_subject_fraction,worst_subject_delta,p10_subject_delta,OUTER_TEST_USED
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_BLEND50,12,0.8049999999999998,0.3999348801255976,-0.0087499999999999,0.1666666666666666,0.5,0.5,-0.03,-0.0295,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E3_BLEND50,12,0.8016666666666666,0.4025770387751518,-0.0120833333333333,0.25,0.25,0.75,-0.045,-0.0395,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E0_BLEND50,12,0.8008333333333333,0.4025057376370779,-0.0129166666666666,0.25,0.4166666666666667,0.5833333333333334,-0.045,-0.035,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E2_BLEND50,12,0.7983333333333333,0.4021030432849733,-0.0154166666666666,0.0833333333333333,0.1666666666666666,0.8333333333333334,-0.0449999999999999,-0.0395,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_BLEND50,18,0.8222222222222223,0.4961886295855009,-0.0294444444444444,0.2222222222222222,0.3333333333333333,0.6666666666666666,-0.1399999999999999,-0.0899999999999999,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E2_BLEND50,18,0.8199999999999998,0.5146039059702516,-0.0316666666666666,0.2222222222222222,0.2777777777777778,0.7222222222222222,-0.14,-0.0839999999999999,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E3_BLEND50,18,0.8161111111111111,0.527330419524997,-0.0355555555555555,0.2222222222222222,0.3333333333333333,0.6666666666666666,-0.1899999999999999,-0.0979999999999999,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E0_BLEND50,18,0.8155555555555556,0.4920690790695217,-0.036111111111111,0.3333333333333333,0.3888888888888889,0.6111111111111112,-0.14,-0.123,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__META_SGD_CONFORMER_NORM_K4,META_SGD_CONFORMER_NORM_K4__E0_BLEND50,12,0.8079166666666667,0.3927006278560429,-0.0058333333333333,0.4166666666666667,0.4166666666666667,0.5833333333333334,-0.05,-0.0295,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__META_SGD_CONFORMER_NORM_K4,META_SGD_CONFORMER_NORM_K4__E2_BLEND50,12,0.8058333333333332,0.4033376437468333,-0.0079166666666666,0.5833333333333334,0.5833333333333334,0.4166666666666667,-0.12,-0.0335,False
