block,family,measure,fusion_rule,mean_pp,median_pp,ci_low_pp,ci_high_pp,positive_subjects,positive_fraction,harm_le_minus_1pp,harm_le_minus_3pp,harm_le_minus_5pp,n_subjects
OpenBMI_MI,EEGNet_homogeneous,gain_over_best_pp,LOGIT50,-1.1714285714285726,-1.066666666666668,-1.5523809523809537,-0.7952380952380962,1,0.07142857142857142,9,0,0,14
OpenBMI_MI,LiteBN_homogeneous,gain_over_best_pp,LOGIT50,-1.4142857142857148,-0.9000000000000001,-2.00952380952381,-0.8523809523809529,0,0.0,6,3,0,14
OpenBMI_MI,Heterogeneous_orientation_mean,gain_over_best_pp,LOGIT50,-1.0452380952380957,-1.4333333333333345,-1.576190476190477,-0.41190476190476183,2,0.14285714285714285,9,0,0,14
OpenBMI_MI,Matched_contrast,D_avg_pp,LOGIT50,0.24761904761904813,0.21666666666666762,-0.13333333333333297,0.6642857142857151,9,0.6428571428571429,0,0,0,14
OpenBMI_MI,Matched_contrast,D_best_pp,LOGIT50,-0.9642857142857143,-1.1166666666666656,-1.3619047619047622,-0.5404761904761902,2,0.14285714285714285,8,0,0,14
OpenBMI_MI,EEGNet_homogeneous,exclusive_correct_fraction,LOGIT50,16.409523809523808,18.266666666666666,13.133333333333335,19.2,14,1.0,0,0,0,14
OpenBMI_MI,LiteBN_homogeneous,exclusive_correct_fraction,LOGIT50,17.952380952380953,18.733333333333334,13.933095238095238,21.59047619047619,14,1.0,0,0,0,14
OpenBMI_MI,Heterogeneous_orientation_mean,exclusive_correct_fraction,LOGIT50,20.642857142857142,23.53333333333333,16.728571428571428,24.014404761904757,14,1.0,0,0,0,14
OpenBMI_ERP,EEGNet_homogeneous,gain_over_best_pp,LOGIT50,-0.09163059163059198,-0.05050505050505231,-0.2997150072150066,0.08874458874458879,4,0.2857142857142857,1,0,0,14
OpenBMI_ERP,LiteBN_homogeneous,gain_over_best_pp,LOGIT50,-0.0825396825396818,0.05656565656565656,-0.3115512265512256,0.10808441558441645,8,0.5714285714285714,1,0,0,14
OpenBMI_ERP,Heterogeneous_orientation_mean,gain_over_best_pp,LOGIT50,0.1448051948051953,0.20808080808080848,-0.06068362193362095,0.31024711399711413,11,0.7857142857142857,0,0,0,14
OpenBMI_ERP,Matched_contrast,D_avg_pp,LOGIT50,0.23189033189033217,0.21666666666666856,0.09162878787878828,0.3766973304473312,11,0.7857142857142857,0,0,0,14
OpenBMI_ERP,Matched_contrast,D_best_pp,LOGIT50,-0.17813852813852815,-0.08737373737373583,-0.3219354256854259,-0.05959415584415493,3,0.21428571428571427,0,0,0,14
OpenBMI_ERP,EEGNet_homogeneous,exclusive_correct_fraction,LOGIT50,7.6368446368446365,7.01010101010101,6.003823953823954,9.46860269360269,14,1.0,0,0,0,14
OpenBMI_ERP,LiteBN_homogeneous,exclusive_correct_fraction,LOGIT50,8.329004329004329,7.444444444444445,6.320634920634921,10.438191438191438,14,1.0,0,0,0,14
OpenBMI_ERP,Heterogeneous_orientation_mean,exclusive_correct_fraction,LOGIT50,9.677248677248679,8.75084175084175,7.5222883597883605,11.915199615199613,14,1.0,0,0,0,14
OpenBMI_SSVEP,EEGNet_homogeneous,gain_over_best_pp,LOGIT50,0.21428571428571427,0.06666666666666596,-0.13333333333333336,0.5857142857142857,7,0.5,1,0,0,14
OpenBMI_SSVEP,LiteBN_homogeneous,gain_over_best_pp,LOGIT50,-0.08571428571428562,0.0,-0.46190476190476204,0.3000000000000002,5,0.35714285714285715,2,0,0,14
OpenBMI_SSVEP,Heterogeneous_orientation_mean,gain_over_best_pp,LOGIT50,0.009523809523809743,0.0,-0.6095238095238091,0.5357142857142863,6,0.42857142857142855,1,1,0,14
OpenBMI_SSVEP,Matched_contrast,D_avg_pp,LOGIT50,-0.0547619047619046,0.0,-0.7023809523809518,0.41904761904761895,6,0.42857142857142855,1,1,0,14
OpenBMI_SSVEP,Matched_contrast,D_best_pp,LOGIT50,-0.8571428571428571,-0.3333333333333336,-1.5976190476190475,-0.31190476190476196,0,0.0,3,1,0,14
OpenBMI_SSVEP,EEGNet_homogeneous,exclusive_correct_fraction,LOGIT50,7.961904761904762,5.533333333333333,3.9523809523809526,12.523809523809522,11,0.7857142857142857,0,0,0,14
OpenBMI_SSVEP,LiteBN_homogeneous,exclusive_correct_fraction,LOGIT50,6.19047619047619,4.533333333333333,3.152380952380952,9.619047619047619,11,0.7857142857142857,0,0,0,14
OpenBMI_SSVEP,Heterogeneous_orientation_mean,exclusive_correct_fraction,LOGIT50,8.89047619047619,6.600000000000001,4.523690476190477,13.609523809523807,11,0.7857142857142857,0,0,0,14
WBCIC_MI,EEGNet_homogeneous,gain_over_best_pp,LOGIT50,-0.5533333333333329,-0.46666666666666556,-0.9133333333333331,-0.16333333333333303,1,0.1,2,0,0,10
WBCIC_MI,LiteBN_homogeneous,gain_over_best_pp,LOGIT50,-0.7233333333333342,-0.46666666666666745,-1.390000000000001,-0.13666666666666788,3,0.3,3,0,0,10
WBCIC_MI,Heterogeneous_orientation_mean,gain_over_best_pp,LOGIT50,-0.6883333333333332,-0.46666666666666595,-1.118333333333333,-0.2800000000000004,2,0.2,4,0,0,10
WBCIC_MI,Matched_contrast,D_avg_pp,LOGIT50,-0.04999999999999978,0.13333333333333194,-0.4349999999999995,0.21666666666666695,7,0.7,1,0,0,10
WBCIC_MI,Matched_contrast,D_best_pp,LOGIT50,-0.8750000000000002,-0.666666666666667,-1.3683333333333332,-0.5233333333333337,0,0.0,3,0,0,10
WBCIC_MI,EEGNet_homogeneous,exclusive_correct_fraction,LOGIT50,9.273333333333333,9.966666666666669,6.0865,12.5,10,1.0,0,0,0,10
WBCIC_MI,LiteBN_homogeneous,exclusive_correct_fraction,LOGIT50,11.853333333333333,12.566666666666666,7.8533333333333335,15.813333333333333,10,1.0,0,0,0,10
WBCIC_MI,Heterogeneous_orientation_mean,exclusive_correct_fraction,LOGIT50,13.48,14.566666666666666,8.696583333333333,18.313500000000005,10,1.0,0,0,0,10
