stage,c_index,interaction_norm,interaction_top1_margin,interaction_true_margin,native_correct_interaction_norm,native_correct_n,native_correct_true_margin,native_error_interaction_norm,native_error_n,native_error_rate,native_error_true_margin,p_index,positive_true_margin_rate,session,split,subject,train_rank,train_subject_equal_interaction_norm,trial_count
classifier_input,1,4.72505661264222e-08,-7.916241884231567e-09,-2.2817403078079224e-08,4.478102511029647e-08,15,-1.639127766850379e-08,8.429369557916289e-08,1,0.0625,-1.1920928955078125e-07,3,0.4375,1,TRAIN,10,1,4.42768239850011e-08,16
classifier_input,1,4.552188670459145e-08,2.3748725652694702e-08,-4.190951585769653e-09,4.0171215687223594e-08,10,1.5646218542997303e-08,5.443967765472735e-08,6,0.375,-3.725290298461914e-08,3,0.4375,2,TRAIN,10,1,4.42768239850011e-08,16
classifier_input,1,7.688507253078569e-08,3.5390257835388184e-08,3.91155481338501e-08,8.007901186601885e-08,15,3.973643103449831e-08,2.8975957633292637e-08,1,0.0625,2.9802322387695312e-08,3,0.5,1,TRAIN,15,1,4.42768239850011e-08,16
classifier_input,1,3.6878489595437713e-08,6.05359673500061e-09,1.1641532182693481e-08,3.635165413129471e-08,15,9.43740197101306e-09,4.478102511029647e-08,1,0.0625,4.470348358154297e-08,3,0.5625,2,TRAIN,15,1,4.42768239850011e-08,16
classifier_input,1,4.469870873435866e-08,1.1059455573558807e-08,2.828892320394516e-08,4.609811554701082e-08,11,2.861700210132767e-08,4.162001232543844e-08,5,0.3125,2.7567148563889532e-08,3,0.5,1,TRAIN,16,1,4.42768239850011e-08,16
classifier_input,1,4.0047737570603203e-08,-2.3748725652694702e-08,-2.3748725652694702e-08,3.188452879498982e-08,12,-3.166496753692627e-08,6.453736034472968e-08,4,0.25,0.0,3,0.1875,2,TRAIN,16,1,4.42768239850011e-08,16
classifier_input,1,4.5439570328653645e-08,-5.448237061500549e-08,-3.585591912269592e-08,5.09274435955831e-08,12,-6.022552412332516e-08,2.8975957633292637e-08,4,0.25,3.725290298461914e-08,3,0.3125,1,TRAIN,19,1,4.42768239850011e-08,16
classifier_input,1,3.2927225390722015e-08,-6.984919309616089e-10,6.752088665962219e-09,3.345405730215134e-08,10,4.842877210364804e-09,3.204916865229279e-08,6,0.375,9.934107758624577e-09,3,0.4375,2,TRAIN,19,1,4.42768239850011e-08,16
classifier_input,1,3.7372402061919274e-08,3.725290298461914e-08,3.725290298461914e-09,2.875644611322059e-08,12,2.7318796114172983e-08,6.322026990801533e-08,4,0.25,-6.705522537231445e-08,3,0.375,1,TRAIN,2,1,4.42768239850011e-08,16
classifier_input,1,6.305563715613971e-08,1.30385160446167e-08,1.6763806343078613e-08,6.585445078144403e-08,15,1.5894572769070692e-08,2.107342389479072e-08,1,0.0625,2.9802322387695312e-08,3,0.5,2,TRAIN,2,1,4.42768239850011e-08,16
