stage,c_index,interaction_norm,interaction_top1_margin,interaction_true_margin,native_correct_interaction_norm,native_correct_n,native_correct_true_margin,native_error_interaction_norm,native_error_n,native_error_rate,native_error_true_margin,p_index,positive_true_margin_rate,session,split,subject,train_rank,train_subject_equal_interaction_norm,trial_count
classifier_input,2,2.028394874287187e-07,-3.725290298461914e-08,0.4418219327926636,2.028394874287187e-07,32,0.4418219327926636,,0,0.0,,3,0.90625,1,TRAIN,10,1,2.2934030141641415e-07,32
classifier_input,2,2.4528213771191076e-07,2.2351741790771484e-08,0.466947466135025,2.4528213771191076e-07,32,0.466947466135025,,0,0.0,,3,0.9375,2,TRAIN,10,1,2.2934030141641415e-07,32
classifier_input,2,2.3792786407739186e-07,2.60770320892334e-08,0.4258308410644531,2.3792786407739186e-07,32,0.4258308410644531,,0,0.0,,3,0.96875,1,TRAIN,15,1,2.2934030141641415e-07,32
classifier_input,2,1.9901634118468792e-07,2.514570951461792e-08,0.1743951141834259,1.9852755883675854e-07,26,0.21464014053344727,2.0113436960400577e-07,6,0.1875,1.9868215517249155e-08,3,0.71875,2,TRAIN,15,1,2.2934030141641415e-07,32
classifier_input,2,2.089609409949844e-07,-1.1175870895385742e-08,0.4390948712825775,2.089609409949844e-07,32,0.4390948712825775,,0,0.0,,3,0.9375,1,TRAIN,16,1,2.2934030141641415e-07,32
classifier_input,2,2.8109670324738545e-07,4.284083843231201e-08,0.5463452339172363,2.8423809794730914e-07,31,0.5639692544937134,1.8371385124282824e-07,1,0.03125,-1.1920928955078125e-07,3,0.96875,2,TRAIN,16,1,2.2934030141641415e-07,32
classifier_input,2,2.396402010163001e-07,4.842877388000488e-08,0.3628389835357666,2.396402010163001e-07,32,0.3628389835357666,,0,0.0,,3,1.0,1,TRAIN,19,1,2.2934030141641415e-07,32
classifier_input,2,2.6238600980832416e-07,-7.543712854385376e-08,0.2900743782520294,2.6391757046440034e-07,31,0.29300326108932495,2.1490760104825313e-07,1,0.03125,0.1992788314819336,3,0.8125,2,TRAIN,19,1,2.2934030141641415e-07,32
classifier_input,2,2.88902072043129e-07,1.1175870895385742e-07,0.5454431772232056,2.88902072043129e-07,32,0.5454431772232056,,0,0.0,,3,0.96875,1,TRAIN,2,1,2.2934030141641415e-07,32
classifier_input,2,2.18450765032685e-07,1.1082738637924194e-07,0.4372551739215851,2.2350330652898265e-07,30,0.4329884648323059,1.4266269943163934e-07,2,0.0625,0.5012559294700623,3,0.9375,2,TRAIN,2,1,2.2934030141641415e-07,32
classifier_input,2,2.2497459895021166e-07,-8.940696716308594e-08,0.3886227309703827,2.2497459895021166e-07,32,0.3886227309703827,,0,0.0,,3,0.90625,1,TRAIN,20,1,2.2934030141641415e-07,32
classifier_input,2,2.1746568279468192e-07,5.634501576423645e-08,0.2745012640953064,2.1182906095873477e-07,31,0.2833561301231384,3.922007181245135e-07,1,0.03125,-4.76837158203125e-07,3,0.8125,2,TRAIN,20,1,2.2934030141641415e-07,32
classifier_input,2,2.1242479419925075e-07,-3.073364496231079e-08,0.4380795657634735,2.1242479419925075e-07,32,0.4380795657634735,,0,0.0,,3,0.96875,1,TRAIN,21,1,2.2934030141641415e-07,32
classifier_input,2,2.2248705988658912e-07,4.284083843231201e-08,0.4382351040840149,2.2433303570323915e-07,31,0.45237165689468384,1.652618664138572e-07,1,0.03125,1.1920928955078125e-07,3,0.96875,2,TRAIN,21,1,2.2934030141641415e-07,32
