dataset,candidate,scope,kappa,epoch,guard_kind,n_probe,harm_frequency,mean_positive_harm,mean_delta,probe_disjoint
OpenBMI,CAP_ZERO_IDENTITY,ALL,0.0,1,TRUE_GUARD,15,0.4,8.243421713511149e-05,-0.00012098153432210287,True
OpenBMI,CAP_ZERO_IDENTITY,ALL,0.0,2,TRUE_GUARD,15,0.6,0.0001698821783065796,0.00012685656547546388,True
OpenBMI,CAP_ZERO_IDENTITY,ALL,0.0,3,TRUE_GUARD,20,0.5,4.596784710884094e-05,-5.252435803413391e-05,True
OpenBMI,CAP_ZERO_IDENTITY,ALL,0.0,4,TRUE_GUARD,15,0.5333333333333333,0.00012441674868265788,1.825690269470215e-05,True
OpenBMI,CAP_ZERO_IDENTITY,ALL,0.0,5,TRUE_GUARD,20,0.6,0.00011530518531799316,5.995184183120728e-05,True
OpenBMI,ERM2_REFERENCE,ALL,0.0,1,TRUE_GUARD,15,0.6,9.324649969736735e-05,-8.269747098286947e-05,True
OpenBMI,ERM2_REFERENCE,ALL,0.0,2,TRUE_GUARD,15,0.6,9.161829948425292e-05,3.233651320139567e-05,True
OpenBMI,ERM2_REFERENCE,ALL,0.0,3,TRUE_GUARD,20,0.3,5.164816975593567e-05,-7.625743746757508e-05,True
OpenBMI,ERM2_REFERENCE,ALL,0.0,4,TRUE_GUARD,15,0.4,5.4813424746195476e-05,-5.4584940274556476e-05,True
OpenBMI,ERM2_REFERENCE,ALL,0.0,5,TRUE_GUARD,20,0.6,0.00011362805962562561,6.054937839508057e-05,True
OpenBMI,P1_ALL_CAP05,ALL,0.05,1,TRUE_GUARD,15,0.4,7.396042346954345e-05,-0.00012563665707906088,True
OpenBMI,P1_ALL_CAP05,ALL,0.05,2,TRUE_GUARD,15,0.6,0.00015772680441538493,0.00010567903518676758,True
OpenBMI,P1_ALL_CAP05,ALL,0.05,3,TRUE_GUARD,20,0.45,3.814324736595154e-05,-6.013363599777222e-05,True
OpenBMI,P1_ALL_CAP05,ALL,0.05,4,TRUE_GUARD,15,0.5333333333333333,0.00011700689792633056,1.4131267865498861e-05,True
OpenBMI,P1_ALL_CAP05,ALL,0.05,5,TRUE_GUARD,20,0.6,0.00011330395936965942,5.849301815032959e-05,True
OpenBMI,P2_ALL_CAP10,ALL,0.1,1,TRUE_GUARD,15,0.4,7.391870021820069e-05,-0.00012540419896443685,True
OpenBMI,P2_ALL_CAP10,ALL,0.1,2,TRUE_GUARD,15,0.6,0.00014321506023406982,9.138484795888265e-05,True
OpenBMI,P2_ALL_CAP10,ALL,0.1,3,TRUE_GUARD,20,0.45,3.7402287125587465e-05,-6.12650066614151e-05,True
