stage,c_index,interaction_norm,interaction_top1_margin,interaction_true_margin,native_correct_interaction_norm,native_correct_n,native_correct_true_margin,native_error_interaction_norm,native_error_n,native_error_rate,native_error_true_margin,p_index,positive_true_margin_rate,session,split,subject,train_rank,train_subject_equal_interaction_norm,trial_count
classifier_input,0,5.638787214934382e-08,9.313225746154785e-10,4.936009645462036e-08,5.09274435955831e-08,9,4.470348358154297e-08,6.340842872987196e-08,7,0.4375,5.534716862598543e-08,1,0.625,1,TRAIN,10,1,4.4863345038947955e-08,16
classifier_input,0,5.4329923671048164e-08,-1.4086253941059113e-08,-3.64379957318306e-08,6.300076194065696e-08,12,-3.36828342994977e-08,2.831741241493546e-08,4,0.25,-4.470348358154297e-08,1,0.1875,2,TRAIN,10,1,4.4863345038947955e-08,16
classifier_input,0,5.169574279761946e-08,1.909211277961731e-08,1.909211277961731e-08,5.3737228000727555e-08,15,2.0364920416682253e-08,2.107342389479072e-08,1,0.0625,0.0,1,0.375,1,TRAIN,16,1,4.4863345038947955e-08,16
classifier_input,0,4.0994393657456385e-08,1.1175870895385742e-08,1.6763806343078613e-08,4.863098013174749e-08,13,1.7193647394719846e-08,7.902533738501916e-09,3,0.1875,1.4901161193847656e-08,1,0.5,2,TRAIN,16,1,4.4863345038947955e-08,16
classifier_input,0,5.671714120580873e-08,1.0477378964424133e-08,-6.752088665962219e-09,6.513603523217171e-08,11,2.709302115988521e-09,3.8195580032152066e-08,5,0.3125,-2.7567148563889532e-08,1,0.375,1,TRAIN,19,1,4.4863345038947955e-08,16
classifier_input,0,2.9305230242471225e-08,8.614733815193176e-09,-2.561137080192566e-09,3.5681139820553653e-08,11,4.4026156054144394e-09,1.5278232012860826e-08,5,0.3125,-1.7881394143159923e-08,1,0.375,2,TRAIN,19,1,4.4863345038947955e-08,16
classifier_input,0,3.161013495400766e-08,9.313225746154785e-09,9.313225746154785e-09,3.49969333512945e-08,14,1.0643686820799303e-08,7.902533738501916e-09,2,0.125,0.0,1,0.3125,1,TRAIN,20,1,4.4863345038947955e-08,16
classifier_input,0,4.247612039876003e-08,-1.30385160446167e-08,-2.7939677238464355e-08,4.45783925329124e-08,13,-2.5217349985950932e-08,3.3366255536293465e-08,3,0.1875,-3.973643103449831e-08,1,0.25,2,TRAIN,20,1,4.4863345038947955e-08,16
classifier_input,0,4.033584843909921e-08,1.6298145055770874e-08,8.847564458847046e-09,4.162001232543844e-08,15,1.3411044719191523e-08,2.107342389479072e-08,1,0.0625,-5.960464477539063e-08,1,0.375,1,TRAIN,21,1,4.4863345038947955e-08,16
classifier_input,0,4.667433728400283e-08,1.862645149230957e-09,-1.6763806343078613e-08,5.2379615311792804e-08,13,-9.16994569166718e-09,2.1951484185933623e-08,3,0.1875,-4.967053612858763e-08,1,0.3125,2,TRAIN,21,1,4.4863345038947955e-08,16
classifier_input,0,6.223245918590692e-08,-3.282912075519562e-08,-3.282912075519562e-08,6.223245918590692e-08,16,-3.282912075519562e-08,,0,0.0,,1,0.25,1,TRAIN,22,1,4.4863345038947955e-08,16
classifier_input,0,3.72077622046163e-08,-1.6065314412117004e-08,-1.7462298274040222e-08,3.885412525050924e-08,12,-2.2351741790771484e-08,3.226868017236484e-08,4,0.25,-2.7939677238464355e-09,1,0.3125,2,TRAIN,22,1,4.4863345038947955e-08,16
classifier_input,0,3.449126495524979e-08,4.912726581096649e-08,1.1874362826347351e-08,3.468334242029414e-08,12,4.066775360911379e-08,3.391504321825778e-08,4,0.25,-7.450580596923828e-08,1,0.3125,1,TRAIN,23,1,4.4863345038947955e-08,16
classifier_input,0,4.198221148499215e-08,1.4202669262886047e-08,3.003515303134918e-08,4.267368325372445e-08,10,3.5390257835388184e-08,4.082976090558077e-08,6,0.375,2.11099777658319e-08,1,0.5,2,TRAIN,23,1,4.4863345038947955e-08,16
classifier_input,0,5.202501540679805e-08,-7.450580596923828e-09,-1.30385160446167e-08,6.234220961687242e-08,12,-1.3659398057086491e-08,2.1073422118433882e-08,4,0.25,-1.1175870895385742e-08,1,0.3125,1,TRAIN,27,1,4.4863345038947955e-08,16
classifier_input,0,6.412577135961328e-08,-2.2817403078079224e-08,-3.026798367500305e-08,6.61366854615153e-08,14,-3.033450823863859e-08,5.004937975172652e-08,2,0.125,-2.9802322387695312e-08,1,0.25,2,TRAIN,27,1,4.4863345038947955e-08,16
classifier_input,0,4.77444714874764e-08,-1.257285475730896e-08,9.778887033462524e-09,4.6850736623582634e-08,14,-1.596553000915435e-09,5.40006475091559e-08,2,0.125,8.940696716308594e-08,1,0.4375,1,TRAIN,3,1,4.4863345038947955e-08,16
classifier_input,0,6.7336173970034e-08,1.30385160446167e-08,1.862645149230957e-09,6.796178553258869e-08,15,7.947286384535346e-09,5.7951915266585274e-08,1,0.0625,-8.940696716308594e-08,1,0.375,2,TRAIN,3,1,4.4863345038947955e-08,16
classifier_input,0,4.9308518157431536e-08,1.1175870895385742e-08,1.1175870895385742e-08,5.559996907322784e-08,14,1.277242400732348e-08,5.26835597369768e-09,2,0.125,0.0,1,0.5,1,TRAIN,30,1,4.4863345038947955e-08,16
classifier_input,0,3.465590481255276e-08,-2.5262124836444855e-08,2.3399479687213898e-08,3.4902857493079864e-08,8,-1.862645149230957e-09,3.440895213202566e-08,8,0.5,4.866160452365875e-08,1,0.5625,2,TRAIN,30,1,4.4863345038947955e-08,16
classifier_input,0,4.3216981993055015e-08,2.7939677238464355e-09,1.7695128917694092e-08,4.111199203293836e-08,14,1.1708054969972181e-08,5.7951915266585274e-08,2,0.125,5.960464477539063e-08,1,0.5625,1,TRAIN,32,1,4.4863345038947955e-08,16
classifier_input,0,5.2683560625155224e-08,-3.073364496231079e-08,-3.259629011154175e-08,5.151281357029802e-08,9,-5.62932740422184e-08,5.418880633101253e-08,7,0.4375,-2.1287374085687816e-09,1,0.25,2,TRAIN,32,1,4.4863345038947955e-08,16
classifier_input,0,3.531445003090994e-08,1.0244548320770264e-08,1.0244548320770264e-08,3.6966298466722947e-08,15,1.0927518445669193e-08,1.053671194739536e-08,1,0.0625,0.0,1,0.25,1,TRAIN,33,1,4.4863345038947955e-08,16
classifier_input,0,4.560420663324294e-08,9.313225746154785e-10,-9.313225746154785e-10,5.00493833044402e-08,13,0.0,2.6341780312577612e-08,3,0.1875,-4.967053879312289e-09,1,0.3125,2,TRAIN,33,1,4.4863345038947955e-08,16
