fold,seed,task,block,dimensions,persistence_supported,n_unique_subjects,n_split_observations,bootstrap_hierarchy,u_abs_mean,u_abs_CI95,u_abs_sign_probability,u_spec_mean,u_spec_CI95,u_spec_sign_probability,raw_BA_change,same_rank_random_BA_change,u_abs_bootstrap,u_spec_bootstrap,random_interventions
0,0,mi,0,1,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.00039292375478897177,"[7.340298064144599e-05, 0.000736013315610483]",0.9924,-0.004603848431804385,"[-0.005439052522709951, -0.003864832876732305]",0.0,-0.0012254901960784316,-0.00798062193627451,"{'mean': 0.00039292375478897177, 'ci95': [7.340298064144599e-05, 0.000736013315610483], 'sign_probability': 0.9924, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.004603848431804385, 'ci95': [-0.005439052522709951, -0.003864832876732305], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100
0,0,mi,1,1,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,-3.199281615476975e-05,"[-0.0006235252467464268, 0.0004773086937840982]",0.4644,-0.006368223467512387,"[-0.007173124781526498, -0.005587084640143982]",0.0,0.0016850490196078432,-0.010300819546568628,"{'mean': -3.199281615476975e-05, 'ci95': [-0.0006235252467464268, 0.0004773086937840982], 'sign_probability': 0.4644, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.006368223467512387, 'ci95': [-0.007173124781526498, -0.005587084640143982], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100
0,0,mi,2,2,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,8.297019074378096e-05,"[-0.0003689030994422114, 0.00057842393244789]",0.6262,-0.012871998918581231,"[-0.014807079928893902, -0.011025428136305028]",0.0,0.00028722426470588225,-0.019666436887254897,"{'mean': 8.297019074378096e-05, 'ci95': [-0.0003689030994422114, 0.00057842393244789], 'sign_probability': 0.6262, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.012871998918581231, 'ci95': [-0.014807079928893902, -0.011025428136305028], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100
0,0,mi,3,4,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.004370233059477511,"[0.002085618829412371, 0.006664596904589035]",0.9999,-0.024756751223990875,"[-0.029814451680151084, -0.020018020944192638]",0.0,-0.010569852941176471,-0.042860945159313726,"{'mean': 0.004370233059477511, 'ci95': [0.002085618829412371, 0.006664596904589035], 'sign_probability': 0.9999, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.024756751223990875, 'ci95': [-0.029814451680151084, -0.020018020944192638], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100
0,0,mi,4,4,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.006209928519280266,"[0.0034830189554331224, 0.009076943853909404]",1.0,-0.023984079267762384,"[-0.028358673388803563, -0.0197026887608487]",0.0,-0.015088848039215688,-0.044474188112745096,"{'mean': 0.006209928519280266, 'ci95': [0.0034830189554331224, 0.009076943853909404], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.023984079267762384, 'ci95': [-0.028358673388803563, -0.0197026887608487], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100
0,0,mi,5,4,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.12091179647656002,"[0.10328175196822907, 0.139516597188271]",1.0,0.11844978666966745,"[0.10104772680140336, 0.13709931704653025]",1.0,-0.18231081495098042,-0.005448069852941178,"{'mean': 0.12091179647656002, 'ci95': [0.10328175196822907, 0.139516597188271], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': 0.11844978666966745, 'ci95': [0.10104772680140336, 0.13709931704653025], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 34}",100
0,0,mi,6,4,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.000888296312593802,"[-0.0004200333375789854, 0.002196281183580453]",0.9113,-0.027881821204375823,"[-0.03229859719995234, -0.02379828021398854]",0.0,-0.002967984068627451,-0.042897326899509806,"{'mean': 0.000888296312593802, 'ci95': [-0.0004200333375789854, 0.002196281183580453], 'sign_probability': 0.9113, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.027881821204375823, 'ci95': [-0.03229859719995234, -0.02379828021398854], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100
0,0,erp,0,1,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.0005266217634427602,"[-0.00046357300968532226, 0.0014537311703801137]",0.8638,-0.0014286952893481837,"[-0.002376357605078049, -0.0005594990144476009]",0.0009,-0.0009765624999999998,-0.0014355468749999998,"{'mean': 0.0005266217634427602, 'ci95': [-0.00046357300968532226, 0.0014537311703801137], 'sign_probability': 0.8638, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.0014286952893481837, 'ci95': [-0.002376357605078049, -0.0005594990144476009], 'sign_probability': 0.0009, 'draws': 10000, 'n_unique_subjects': 34}",100
0,0,erp,1,1,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,-0.000606609050574636,"[-0.0011680250842857022, -8.690647814279323e-05]",0.0127,-0.0030941285924301854,"[-0.003789815325397365, -0.0024430330741294286]",0.0,0.0031977634803921568,-0.002848307291666667,"{'mean': -0.000606609050574636, 'ci95': [-0.0011680250842857022, -8.690647814279323e-05], 'sign_probability': 0.0127, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.0030941285924301854, 'ci95': [-0.003789815325397365, -0.0024430330741294286], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100
0,0,erp,2,2,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,-0.001166019974386791,"[-0.0018853349381554988, -0.0004839297068028872]",0.0003,-0.005964444701787356,"[-0.006953813614633316, -0.0049585659191056]",0.0,0.001761642156862745,-0.006700750612745098,"{'mean': -0.001166019974386791, 'ci95': [-0.0018853349381554988, -0.0004839297068028872], 'sign_probability': 0.0003, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.005964444701787356, 'ci95': [-0.006953813614633316, -0.0049585659191056], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100
