model,task,fold,seed,checkpoint_path,checkpoint_sha256,normalizer_path,normalizer_sha256,normalizer_artifact_kind,train_subjects,checkpoint_selection_subjects,heldout_subjects,source_sessions,future_session,representation_layer,representation_dimension,checkpoint_source_experiment,selected_epoch,status,errors
EEGNet,OpenBMI_MI,0,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold0_seed0\selected.pt,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold0_seed0\record.json::normalizer (hash only; TRAIN reconstruction required),b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,recomputed TRAIN-source mean/std; values not persisted,1;10;16;2;20;21;22;23;27;28;30;31;34;35;40;41;43;44;45;46;48;49;50;52;53;7,11;14;19;26;8;9,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,49,PASS,
EEGNet,OpenBMI_MI,0,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold0_seed1\selected.pt,3aa39fa5a83d8d1202f1b8307b10943325fac563938e7727c7e11731de92dab8,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold0_seed1\record.json::normalizer (hash only; TRAIN reconstruction required),b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,recomputed TRAIN-source mean/std; values not persisted,1;10;16;2;20;21;22;23;27;28;30;31;34;35;40;41;43;44;45;46;48;49;50;52;53;7,11;14;19;26;8;9,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,53,PASS,
EEGNet,OpenBMI_MI,0,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold0_seed2\selected.pt,b677e6739af59491b4717abccd6d224ccf495e6ce1dab2803e53dfdf85e36e9d,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold0_seed2\record.json::normalizer (hash only; TRAIN reconstruction required),b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,recomputed TRAIN-source mean/std; values not persisted,1;10;16;2;20;21;22;23;27;28;30;31;34;35;40;41;43;44;45;46;48;49;50;52;53;7,11;14;19;26;8;9,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,44,PASS,
EEGNet,OpenBMI_MI,1,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold1_seed0\selected.pt,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold1_seed0\record.json::normalizer (hash only; TRAIN reconstruction required),a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,recomputed TRAIN-source mean/std; values not persisted,10;16;19;20;21;22;23;27;3;30;32;33;34;38;41;45;46;47;48;49;5;50;53;6;7;9,1;11;15;44;52;8,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,58,PASS,
EEGNet,OpenBMI_MI,1,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold1_seed1\selected.pt,26fe3cd51b5f8466e1599b935fa8a97475d0fb40e20504170de46f78c365f546,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold1_seed1\record.json::normalizer (hash only; TRAIN reconstruction required),a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,recomputed TRAIN-source mean/std; values not persisted,10;16;19;20;21;22;23;27;3;30;32;33;34;38;41;45;46;47;48;49;5;50;53;6;7;9,1;11;15;44;52;8,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,59,PASS,
EEGNet,OpenBMI_MI,1,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold1_seed2\selected.pt,a050a109ad36d077c01425fbd89fef2a2b385a64b1c898529cc5acfb4819b19e,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold1_seed2\record.json::normalizer (hash only; TRAIN reconstruction required),a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,recomputed TRAIN-source mean/std; values not persisted,10;16;19;20;21;22;23;27;3;30;32;33;34;38;41;45;46;47;48;49;5;50;53;6;7;9,1;11;15;44;52;8,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,56,PASS,
EEGNet,OpenBMI_MI,2,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold2_seed0\selected.pt,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold2_seed0\record.json::normalizer (hash only; TRAIN reconstruction required),947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,recomputed TRAIN-source mean/std; values not persisted,10;15;16;19;2;20;21;22;26;27;28;3;31;32;33;34;38;40;41;43;44;47;49;53;7;9,14;35;45;46;5;6,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,46,PASS,
EEGNet,OpenBMI_MI,2,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold2_seed1\selected.pt,e206dcc16be49a8cf635e8d78c0a313265571d7e80e217602935d5b17606cf99,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold2_seed1\record.json::normalizer (hash only; TRAIN reconstruction required),947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,recomputed TRAIN-source mean/std; values not persisted,10;15;16;19;2;20;21;22;26;27;28;3;31;32;33;34;38;40;41;43;44;47;49;53;7;9,14;35;45;46;5;6,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,45,PASS,
EEGNet,OpenBMI_MI,2,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold2_seed2\selected.pt,cd824a8f32ed3418c2ed7c9a53bb1df81a08fa7506e92ae519ba4c1d0c58188a,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold2_seed2\record.json::normalizer (hash only; TRAIN reconstruction required),947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,recomputed TRAIN-source mean/std; values not persisted,10;15;16;19;2;20;21;22;26;27;28;3;31;32;33;34;38;40;41;43;44;47;49;53;7;9,14;35;45;46;5;6,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,37,PASS,
EEGNet,OpenBMI_MI,3,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold3_seed0\selected.pt,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold3_seed0\record.json::normalizer (hash only; TRAIN reconstruction required),518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,recomputed TRAIN-source mean/std; values not persisted,1;11;15;2;20;21;23;26;28;3;30;31;33;38;40;41;44;47;48;5;50;52;53;6;7;9,14;32;35;43;46;8,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,36,PASS,
EEGNet,OpenBMI_MI,3,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold3_seed1\selected.pt,fd03b996efb1d23f47fc349f8274437c7bd2db760a679ecd2c4808e6715bb7ec,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold3_seed1\record.json::normalizer (hash only; TRAIN reconstruction required),518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,recomputed TRAIN-source mean/std; values not persisted,1;11;15;2;20;21;23;26;28;3;30;31;33;38;40;41;44;47;48;5;50;52;53;6;7;9,14;32;35;43;46;8,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,47,PASS,
EEGNet,OpenBMI_MI,3,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold3_seed2\selected.pt,2680540cad8e1f509a5cc9219a129d33b77d550ca912b3da1c8e0ac13f054adf,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold3_seed2\record.json::normalizer (hash only; TRAIN reconstruction required),518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,recomputed TRAIN-source mean/std; values not persisted,1;11;15;2;20;21;23;26;28;3;30;31;33;38;40;41;44;47;48;5;50;52;53;6;7;9,14;32;35;43;46;8,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,55,PASS,
EEGNet,OpenBMI_MI,4,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed0\selected.pt,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed0\record.json::normalizer (hash only; TRAIN reconstruction required),aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,recomputed TRAIN-source mean/std; values not persisted,1;10;14;16;19;2;22;23;26;27;28;3;30;31;32;33;35;40;43;45;47;49;5;50;6;8,11;15;34;38;48;52,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,58,PASS,
EEGNet,OpenBMI_MI,4,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed1\selected.pt,18e7ca3b92362386d327d56383ebe95a4bd0a6899685a0b3e4aa93f49e0dec76,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed1\record.json::normalizer (hash only; TRAIN reconstruction required),aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,recomputed TRAIN-source mean/std; values not persisted,1;10;14;16;19;2;22;23;26;27;28;3;30;31;32;33;35;40;43;45;47;49;5;50;6;8,11;15;34;38;48;52,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,58,PASS,
EEGNet,OpenBMI_MI,4,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed2\selected.pt,7224fe2a5b2a5a2f0dd79000b82c28cd294225ac6155a3b9355e5552af2dd95d,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed2\record.json::normalizer (hash only; TRAIN reconstruction required),aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,recomputed TRAIN-source mean/std; values not persisted,1;10;14;16;19;2;22;23;26;27;28;3;30;31;32;33;35;40;43;45;47;49;5;50;6;8,11;15;34;38;48;52,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,54,PASS,
EEGNet,OpenBMI_ERP,0,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed0\selected.pt,d803e953355c6d326d7889b057412049edcd96cc800f9782d7fb36782a175b89,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed0\record.json::normalizer (hash only; TRAIN reconstruction required),9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,recomputed TRAIN-source mean/std; values not persisted,1;10;16;2;20;21;22;23;27;28;30;31;34;35;40;41;43;44;45;46;48;49;50;52;53;7,11;14;19;26;8;9,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,29,PASS,
EEGNet,OpenBMI_ERP,0,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed1\selected.pt,b65f380d52cbcafa22129258a2a087af046ea77db60ef23cd1c220fb60dcd29b,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed1\record.json::normalizer (hash only; TRAIN reconstruction required),9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,recomputed TRAIN-source mean/std; values not persisted,1;10;16;2;20;21;22;23;27;28;30;31;34;35;40;41;43;44;45;46;48;49;50;52;53;7,11;14;19;26;8;9,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,30,PASS,
EEGNet,OpenBMI_ERP,0,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed2\selected.pt,0f28d8f44250f6800c36fb227390c776cc47ed35e0157439393ac04633c09ecd,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed2\record.json::normalizer (hash only; TRAIN reconstruction required),9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,recomputed TRAIN-source mean/std; values not persisted,1;10;16;2;20;21;22;23;27;28;30;31;34;35;40;41;43;44;45;46;48;49;50;52;53;7,11;14;19;26;8;9,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,27,PASS,
EEGNet,OpenBMI_ERP,1,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed0\selected.pt,f4e2e9272eb01443de43cf8b91fa12040b46238aa312729ccda9311950ca2b05,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed0\record.json::normalizer (hash only; TRAIN reconstruction required),e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,recomputed TRAIN-source mean/std; values not persisted,10;16;19;20;21;22;23;27;3;30;32;33;34;38;41;45;46;47;48;49;5;50;53;6;7;9,1;11;15;44;52;8,12;13;17;18;24;25;29;36;37;39;4;42;51;54,1,2,model.head forward-pre-hook,64,persist_eeg_seven_backbone_fourtask_3seed_v1,39,PASS,
