stage,c_index,interaction_norm,interaction_top1_margin,interaction_true_margin,native_correct_interaction_norm,native_correct_n,native_correct_true_margin,native_error_interaction_norm,native_error_n,native_error_rate,native_error_true_margin,p_index,positive_true_margin_rate,session,split,subject,train_rank,train_subject_equal_interaction_norm,trial_count
classifier_input,0,1.880741820059484e-07,-3.4458935260772705e-08,-0.1550779640674591,1.880741820059484e-07,32,-0.1550779640674591,,0,0.0,,3,0.125,1,TRAIN,10,1,1.8070809915116115e-07,32
classifier_input,0,1.891878298465599e-07,2.9336661100387573e-08,-0.15093006193637848,1.891878298465599e-07,32,-0.15093006193637848,,0,0.0,,3,0.1875,2,TRAIN,10,1,1.8070809915116115e-07,32
classifier_input,0,1.7238811267361598e-07,-1.862645149230957e-09,-0.19540616869926453,1.7238811267361598e-07,32,-0.19540616869926453,,0,0.0,,3,0.1875,1,TRAIN,16,1,1.8070809915116115e-07,32
classifier_input,0,1.666517306375681e-07,1.1175870895385742e-08,-0.19026653468608856,1.666517306375681e-07,32,-0.19026653468608856,,0,0.0,,3,0.09375,2,TRAIN,16,1,1.8070809915116115e-07,32
classifier_input,0,2.0538283251880785e-07,3.5390257835388184e-08,-0.19252616167068481,2.0538283251880785e-07,32,-0.19252616167068481,,0,0.0,,3,0.15625,1,TRAIN,19,1,1.8070809915116115e-07,32
classifier_input,0,1.7211982594744768e-07,-3.166496753692627e-08,-0.12488651275634766,1.7211982594744768e-07,32,-0.12488651275634766,,0,0.0,,3,0.21875,2,TRAIN,19,1,1.8070809915116115e-07,32
classifier_input,0,1.7001254093429452e-07,1.30385160446167e-08,-0.1788264513015747,1.7001254093429452e-07,32,-0.1788264513015747,,0,0.0,,3,0.1875,1,TRAIN,20,1,1.8070809915116115e-07,32
classifier_input,0,1.742565132190066e-07,-2.0023435354232788e-08,-0.1533030867576599,1.8643916632754554e-07,28,-0.16526414453983307,8.897792014295192e-08,4,0.125,-0.06957551836967468,3,0.125,2,TRAIN,20,1,1.8070809915116115e-07,32
classifier_input,0,1.705061833945365e-07,5.960464477539063e-08,-0.11743377149105072,1.705061833945365e-07,32,-0.11743377149105072,,0,0.0,,3,0.34375,1,TRAIN,21,1,1.8070809915116115e-07,32
classifier_input,0,1.7901314208756958e-07,3.3527612686157227e-08,-0.2427425980567932,1.7901314208756958e-07,32,-0.2427425980567932,,0,0.0,,3,0.0625,2,TRAIN,21,1,1.8070809915116115e-07,32
classifier_input,0,1.4757257815745106e-07,-1.955777406692505e-08,-0.17023685574531555,1.4808260573317966e-07,31,-0.17572836577892303,1.317615812013173e-07,1,0.03125,-1.1920928955078125e-07,3,0.1875,1,TRAIN,22,1,1.8070809915116115e-07,32
classifier_input,0,1.785358563211048e-07,1.3969838619232178e-08,-0.12971505522727966,1.8517391708883224e-07,27,-0.1348557472229004,1.426904248091887e-07,5,0.15625,-0.10195531696081161,3,0.21875,2,TRAIN,22,1,1.8070809915116115e-07,32
classifier_input,0,1.1741879291093937e-07,-1.6763806343078613e-08,-0.19166608154773712,1.1858932680297585e-07,27,-0.22057321667671204,1.1109796105301939e-07,5,0.15625,-0.035567425191402435,3,0.15625,1,TRAIN,23,1,1.8070809915116115e-07,32
classifier_input,0,1.5492433647068538e-07,6.51925802230835e-09,-0.12956774234771729,1.6188701579267217e-07,13,-0.21815791726112366,1.5016040322279878e-07,19,0.59375,-0.06895342469215393,3,0.15625,2,TRAIN,23,1,1.8070809915116115e-07,32
classifier_input,0,2.0109611398311245e-07,-1.6298145055770874e-08,-0.2557372450828552,2.0109611398311245e-07,32,-0.2557372450828552,,0,0.0,,3,0.03125,1,TRAIN,27,1,1.8070809915116115e-07,32
classifier_input,0,2.3481410948988923e-07,1.30385160446167e-07,-0.21388596296310425,2.3481410948988923e-07,32,-0.21388596296310425,,0,0.0,,3,0.03125,2,TRAIN,27,1,1.8070809915116115e-07,32
