model,method,BA,median_subject_BA,CI95_L,CI95_U
ATCNet-CleanRoom,ERM,0.8051641414141414,0.8416666666666667,0.7621183250184774,0.846666782150776
ATCNet-CleanRoom,Mixup,0.8061761928225343,0.8433333333333334,0.7637330366674878,0.8466242968300896
ATCNet-CleanRoom,RandomTransport,0.806949371766445,0.8483333333333333,0.7639023928307465,0.8478040003695492
ATCNet-CleanRoom,SCST-NoConsistency,0.8060144124168516,0.8416666666666667,0.7643079268292683,0.8468708887657059
ATCNet-CleanRoom,Full-SCST,0.8054097376201034,0.8450000000000001,0.7627642276422765,0.8466260970990391
EEGNet,ERM,0.8065279317565904,0.85,0.7640219381313131,0.8462448147634885
EEGNet,Mixup,0.8055523220004928,0.8433333333333334,0.7625842456577974,0.8462676652192658
EEGNet,RandomTransport,0.8063619425966988,0.8450000000000001,0.7645301375030796,0.8472969096452327
EEGNet,SCST-NoConsistency,0.8060401268785417,0.8433333333333333,0.7631919692350333,0.8469360487496921
EEGNet,Full-SCST,0.8060807772850457,0.8483333333333333,0.7642901268785416,0.8471957186191182
EEGConformer,ERM,0.8084718629383263,0.85,0.7653235851913444,0.8482524469799623
EEGConformer,Mixup,0.8091625092387287,0.8483333333333333,0.7661137287509239,0.8510892461197338
EEGConformer,RandomTransport,0.8089596678163751,0.85,0.7655128264350824,0.8506532679436644
EEGConformer,SCST-NoConsistency,0.8092035702553995,0.85,0.7663002112076045,0.850342383438039
EEGConformer,Full-SCST,0.8093661718814157,0.8516666666666666,0.7661371951219511,0.8509280675145766
