dataset,oracle,BA,delta_vs_STRONGEST_KEEP,residual_headroom,sample_fraction,oracle_rescuable_fraction_in_region,OUTER_TEST_USED
OpenBMI,H0_ALL,0.8830769230769231,0.023846153846153833,0.023846153846153833,1.0,0.023846153846153847,False
OpenBMI,H1_I003_REGION,0.8830769230769231,0.023846153846153833,0.023846153846153833,0.2923076923076923,0.023846153846153847,False
OpenBMI,H2_NONUNANIMOUS,0.8830769230769231,0.023846153846153833,0.023846153846153833,0.2923076923076923,0.023846153846153847,False
OpenBMI,H3_CONTINUOUS_INSTABILITY,0.8557692307692307,-0.0034615384615384304,-0.0034615384615384304,1.0,0.028076923076923076,False
OpenBMI,H4_ACTION_ENSEMBLE,0.8830769230769231,0.023846153846153833,0.023846153846153833,1.0,0.023846153846153847,False
OpenBMI,H5_CONVEX_ORACLE,0.8830769230769231,0.023846153846153833,0.023846153846153833,1.0,0.023846153846153847,False
WBCIC,H0_ALL,0.8058142399605814,0.03952081793545209,0.03952081793545209,1.0,0.039521834593803366,False
WBCIC,H1_I003_REGION,0.8047166789849716,0.038423256959842327,0.038423256959842327,0.3844840204928031,0.03842400585508661,False
WBCIC,H2_NONUNANIMOUS,0.8047166789849716,0.038423256959842327,0.038423256959842327,0.3844840204928031,0.03842400585508661,False
WBCIC,H3_CONTINUOUS_INSTABILITY,0.7688445429908844,0.002551120965755125,0.002551120965755125,1.0,0.03939985362283484,False
WBCIC,H4_ACTION_ENSEMBLE,0.8052044838630206,0.03891106183789112,0.03891106183789112,1.0,0.04013173944864601,False
WBCIC,H5_CONVEX_ORACLE,0.8052044838630206,0.03891106183789112,0.03891106183789112,1.0,0.04013173944864601,False
