seed,fold,role,subject
0,0,inner_train,sub-01
0,0,inner_train,sub-04
0,0,inner_train,sub-05
0,0,inner_train,sub-06
0,0,inner_train,sub-07
0,0,inner_train,sub-09
0,0,inner_train,sub-11
0,0,inner_train,sub-12
0,0,inner_val,sub-02
0,0,outer_test,sub-03
0,0,outer_test,sub-08
0,0,outer_test,sub-10
0,1,inner_train,sub-01
0,1,inner_train,sub-02
0,1,inner_train,sub-03
0,1,inner_train,sub-04
0,1,inner_train,sub-07
0,1,inner_train,sub-08
0,1,inner_train,sub-09
0,1,inner_train,sub-10
0,1,inner_val,sub-11
0,1,outer_test,sub-05
0,1,outer_test,sub-06
0,1,outer_test,sub-12
0,2,inner_train,sub-02
0,2,inner_train,sub-03
0,2,inner_train,sub-05
0,2,inner_train,sub-06
0,2,inner_train,sub-07
0,2,inner_train,sub-08
0,2,inner_train,sub-10
0,2,inner_train,sub-11
0,2,inner_train,sub-12
0,2,inner_val,sub-09
0,2,outer_test,sub-01
0,2,outer_test,sub-04
0,3,inner_train,sub-01
0,3,inner_train,sub-02
0,3,inner_train,sub-04
0,3,inner_train,sub-05
0,3,inner_train,sub-06
0,3,inner_train,sub-08
0,3,inner_train,sub-09
0,3,inner_train,sub-10
0,3,inner_train,sub-12
0,3,inner_val,sub-03
0,3,outer_test,sub-07
0,3,outer_test,sub-11
0,4,inner_train,sub-01
0,4,inner_train,sub-03
0,4,inner_train,sub-04
0,4,inner_train,sub-05
0,4,inner_train,sub-06
0,4,inner_train,sub-07
0,4,inner_train,sub-08
0,4,inner_train,sub-11
0,4,inner_train,sub-12
0,4,inner_val,sub-10
0,4,outer_test,sub-02
0,4,outer_test,sub-09
