dataset,outer_fold,phase,epoch,order_sha256
OpenBMI,0,selection,1,9c5aabbd4b51f912076de9aa6dac1210338ed3a4a5349c2a07e0f4230e5e2af5
OpenBMI,0,selection,2,6e8609003f7eb0555d05072c99a233fca74fb6a02ec144193647740afef1e570
OpenBMI,0,selection,3,1ce8093f8a0f7ad64fb6a7547fe0eeefbd95a531ac88e8d304f050227548ad1b
OpenBMI,0,refit,1,378e2e66148058b5f6606e550fbb79f31b8524375d2d0ab08981d708c84b48c7
OpenBMI,0,refit,2,246e0d31b28b51eb9d7770325179a16bf40dbc1f3f74e93719319effc9d38258
OpenBMI,0,refit,3,5c281b8cfac88460ef87cacec4906a510e0d75591a37eac7c37e178e0a375b1a
OpenBMI,1,selection,1,9b15fa144ec36103a5d0a9354be427a61287886df5068e9b5cf7a2e06331984e
OpenBMI,1,selection,2,65f18adcfe09582be13672995e4b93bb5341b802aa754183f7b1c940c51f5eea
OpenBMI,1,selection,3,7b45ff8dc70e16630888cf2ec21f9b038438aec88531d1f775a92ece3278bfd7
OpenBMI,1,refit,1,1efabe5068eb7277af629a59c8b5d496bcdb6132af6d4070384731bf76115be8
OpenBMI,1,refit,2,d69d3da0b95c2a34fa8eb3707aefd2a8e2b62ef15bdf59016d6035396ba0c293
OpenBMI,1,refit,3,a2083a326d2e2e8265b0809a2536d482ea9d264b2c686afc3c8f585c4485a641
WBCIC,0,selection,1,2ded0de2effe4dedce9da3bd8ab7a4c0656b44d4388389fdfcf66bc1612fd44d
WBCIC,0,selection,2,042ebd7177171f30cef6425790c47df0c08270ac0652bcddafa312669561eab8
WBCIC,0,selection,3,d32131c4870b08288d998d89aadedad967768d43c46a3a5f699b7b6d107db581
WBCIC,0,refit,1,835999d2074dd1e6e617a375df33075134ec062ccf71909b1324e500d675172e
WBCIC,0,refit,2,026405979fb3a8973344df1d82c92adf0c7153a96c5400212290418ab0e43b18
WBCIC,0,refit,3,fc39cc81b58b94b5a3102b0b76f1fc0d17929b355323eeac0938cf3441f856bd
WBCIC,1,selection,1,b30e695e7cb10f8bbaa21532c4c01f083f87f291a7fa33065292dc08c302484a
WBCIC,1,selection,2,f64fb9ef37c66b9f1d4ef1353adeb5ee3ced64fc76b15e2e4444dda50d455034
WBCIC,1,selection,3,de610480dda05e12bca943015bf74d9c345f468cb40ff683b14d94b76f95e34a
WBCIC,1,refit,1,4b67e9ab669db9e1b72b1a099c3ad98d892e87a25762df3cda48881848449295
WBCIC,1,refit,2,a31806ac9f403774a104adb429c8b44c489489aaed2a9f5f753da4ea82d68983
WBCIC,1,refit,3,94a406b640db13840607639fe1c216ae0f6760a6a45dd7b43ae01dfe2dfccc7b
