dataset,outer_fold,phase,epoch,control,order_sha256
WBCIC,0,selection,1,ERM_ORDER_B0,2ed7417b9921e56844844ea6762df461ce84fd692bf8560c5df5b26eeafc2ea6
WBCIC,0,selection,2,ERM_ORDER_B0,bcbcc025ea5ef801d4146b847767168ca416d34ab9e0c282b93ef12501db9288
WBCIC,0,selection,3,ERM_ORDER_B0,4525234ea54aee4f9616909b57dc9b41d3bbe4be1878b24e33d3d83e9e2f6efb
WBCIC,0,refit,1,ERM_ORDER_B0,e962e3bf73eea6b07c60b03877b1bea647bd9b7e75b1a223cdb8c233f3d32d93
WBCIC,0,refit,2,ERM_ORDER_B0,604aeca68f9d1c6cdf50206bd929df85359c93facf104446526bb55cda0bf827
WBCIC,0,refit,3,ERM_ORDER_B0,a7b3ad8946a5dd430e98e5ac9adb83eb1e413558d06340a754a410c804dd4f05
WBCIC,0,selection,1,ERM_ORDER_B1,5dd22a969d56e9518dd35c755c576750969a5b9ee56440178fd36443afda5074
WBCIC,0,selection,2,ERM_ORDER_B1,a443918a0c91b05384af84eee4fa3ce3163583110c36e3a640b7ed1ae1be7b41
WBCIC,0,selection,3,ERM_ORDER_B1,cc835b6ea260006b7182f1c5e9cb9b1d61e8a6e0cbb2a1d6111610428f864600
WBCIC,0,refit,1,ERM_ORDER_B1,2137db9e033bdd9fe714fe45df8c80fd85ea03e4f6f7e4ae55d2e6a73bc68450
WBCIC,0,refit,2,ERM_ORDER_B1,ca18c20a99b48a18748dac15519350eb2382e99a7452c2383895569929252695
WBCIC,0,refit,3,ERM_ORDER_B1,bc6643c8cf6a35fc2a8481544a5c06962f5f4b056bbbf0de3e27c7f14bbcbbfb
WBCIC,0,selection,1,ERM_ORDER_B3,5c383afb6bd2d8bf0b9d5d24b82fdf1212f8a2a9f73b6ced2055cb31ba97e709
WBCIC,0,selection,2,ERM_ORDER_B3,ef58677176b5dd681ad225964e57967b707a2399496c0f8e2c64d7c6eca4250e
WBCIC,0,selection,3,ERM_ORDER_B3,0ace56dce264dbf0d64c92cb6106a70164d4101191fb8ba05717545943f5ddd9
WBCIC,0,refit,1,ERM_ORDER_B3,eafd8892192b2d334bdeef446702f40e1da8e42574963db776a4748ce4cc6ec7
WBCIC,0,refit,2,ERM_ORDER_B3,7bf9b4f875647311beb25f979081e5384e88e7c8bf94cad44a0e70507840cad7
WBCIC,0,refit,3,ERM_ORDER_B3,b4d8d6eb3adaee055e40f8d70f71488ddc0ee81139a079ec33f2ef1b018c1345
WBCIC,0,selection,1,ERM_ORDER_B4,95fae0aae4f1ec988b8e6141c375cbd42d67184a8601d704421c30605de16cba
WBCIC,0,selection,2,ERM_ORDER_B4,5a99b24454fb72895e102cdff77f9a238e5aeb14bf527dd647c55dd14b9e5548
WBCIC,0,selection,3,ERM_ORDER_B4,9170390af12c71aefcf263acd8613d9fc72819b5e668ebbdad9257a5c0234d7a
WBCIC,0,refit,1,ERM_ORDER_B4,c784fc8b13c5078e581ea1b18d7e8b844d2323bad1d398a01fdea5295f60579b
WBCIC,0,refit,2,ERM_ORDER_B4,fb457066927da0773faae4a3704f2b061122e8a789f8f3e7950071b6ccdf83ae
WBCIC,0,refit,3,ERM_ORDER_B4,af4f6337fdb6419072fc9a6524e52b364abe2a4ff507efb42d0590a66bfefe81
WBCIC,1,selection,1,ERM_ORDER_B0,e4777033456a88dc34a27784382b50e6d74a73d52caca8bc82bde619eb37adec
WBCIC,1,selection,2,ERM_ORDER_B0,fb747a5af8f290bbafbb08dc1eaed66c85d8016b7d2c3dcbb95fb24ad0de88e2
WBCIC,1,selection,3,ERM_ORDER_B0,1ffbd98483a185288e94810043786b2ee510a44e4f0b8664ff1c45e9a93b2c57
WBCIC,1,refit,1,ERM_ORDER_B0,286875ae4fe745f81b190b661dbf39fd992ce58d6730413cece4f3206043a420
WBCIC,1,refit,2,ERM_ORDER_B0,2dc755c4a573cd81eb9747480d1778668cf2a437f745b0c0007cea5d1b6396db
WBCIC,1,refit,3,ERM_ORDER_B0,3d8b7f38ac1e9594bfbe86dc7e3625ea02aef1b04c0046e5638b0bee610a7309
WBCIC,1,selection,1,ERM_ORDER_B1,7cfc903001d1786dd12ce4519e647686022cf6eb8bc6c8270ebc8ca08e6b829a
WBCIC,1,selection,2,ERM_ORDER_B1,84945a9bd38721e0c9d920b95d24de999fa39e0de03c17f2c3190de37929728c
WBCIC,1,selection,3,ERM_ORDER_B1,36713b1d2748fc14f407b39731d7169565652f5e9a55227d6d7c694603e2cfa5
WBCIC,1,refit,1,ERM_ORDER_B1,40f3511fc9a446b68fb78b6d2ad8f27d89b2c8f6df6f37e9f19fbea120e559c2
WBCIC,1,refit,2,ERM_ORDER_B1,eacf1bdcdd254634d525e253f049064ff3adfacde5a073a20a133237e82e86ec
WBCIC,1,refit,3,ERM_ORDER_B1,2394c9a0f718d61303ee9ce72b7d8a385c93bfdd29b114cb122b18ba057073d6
WBCIC,1,selection,1,ERM_ORDER_B3,d760dede74955b288cc7640b362f0f635eb4f1f0626fc1f6554fabab9e29cdf6
WBCIC,1,selection,2,ERM_ORDER_B3,deb144988471a003adfd9074df2b60b8afd4299a91b198d205ac23397ecbea98
WBCIC,1,selection,3,ERM_ORDER_B3,164dbbf39094d2b7396d2374d26345c1ed38144eab1ba4efb84eac33e1f6bbac
WBCIC,1,refit,1,ERM_ORDER_B3,b329d2cd2baed6c375b06a0e5588522aeaa6445bf8e4f414fbe8800d633f254a
WBCIC,1,refit,2,ERM_ORDER_B3,5d62d7d7c48dac5079a32b2dad62c47657d4359be5fb57f805cf8aa01af18465
WBCIC,1,refit,3,ERM_ORDER_B3,b4bea274ee76329de45c70e575e8112c4bad3e320b52080cb4e7d0990dde5b71
WBCIC,1,selection,1,ERM_ORDER_B4,56aa98a227aa2e6ed1e50f55b0689f7e1f200952452d941aaf2761a68046682b
WBCIC,1,selection,2,ERM_ORDER_B4,6044393b65f2c01c31f774f325f14ab0b488b7b47cb8b840da2ce47a3f8c52c7
WBCIC,1,selection,3,ERM_ORDER_B4,733171bbffe5e616626bab107b685e8b47cd006b406b8424b4aa4ab8e001fb32
WBCIC,1,refit,1,ERM_ORDER_B4,69e0e3e8efe53acd6267594c196666177d0b8921b9b593f1d1439483123043ca
WBCIC,1,refit,2,ERM_ORDER_B4,907023320675658451d1b32f019842d319480f43c61d76bb569eafe79260a847
WBCIC,1,refit,3,ERM_ORDER_B4,2c8453d83f5a06ccbca237d83cf58ad3e019a8c6e0e4f756927f46ac4653b142
