Family,branch,commit,experiment_path,hypothesis,protocol,dataset,task,backbone,seeds_folds,outer_heldout_usage,main_metric,terminal_decision,integrity_status,later_superseded,superseded_by,leakage_or_confound,usable_in_paper,evidence_role,tracked_in_current_base
A Persistence definition / P1 / P2,codex/persist-eeg-p3-p4; codex/persist-eeg-persist-net-source-only-diagnostic-v1,37dce5fb6035422f063316b774b5197b6626a029; 8f46a5beeb6b41aecfc64ac90996ab1ab8e4dba2,experiments/persist_eeg_p3closure_p4; experiments/persist_eeg_persist_net_source_only_diagnostic_v1,persistent task-consequential structure,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,P2_PASS_MULTI_SEED_PERSISTENCE_UTILITY,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,AUTHORITATIVE_PRIMARY,True
B P3 trajectory / compression,codex/persist-eeg-p3-p4,37dce5fb6035422f063316b774b5197b6626a029,experiments/persist_eeg_p3closure_p4,selective compression failed in 0/5 seeds,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,SELECTIVE_COMPRESSION_NOT_SUPPORTED,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,NEGATIVE_AUTHORITATIVE,True
C PCA / high-variance relationship,codex/persist-eeg-p3-p4; codex/persist-eeg-exp4-openbmi-final-v1,37dce5fb6035422f063316b774b5197b6626a029; a0e6390574adb6584640ed85e2e6c4b4dd3cadf8,experiments/persist_eeg_p3closure_p4; experiments/persist_eeg_exp4_openbmi_final_v1,PCA overlap is not actionability,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,PCA_OVERLAP_HIGH_BUT_NOT_IDENTITY,artifact audit required,yes,PAG closure or later repaired artifact,see cited artifact,bounded by role,AUTHORITATIVE_SUPPORTING,True
D identity interpretation / matched identity causal audit,codex/persist-eeg-matched-identity-causal-v1-2; codex/persist-eeg-final-closure-repair-v1,3366d419cfd5d26e88f5de3d751199d9068b649e; 96a96a89d63aaca6560544e56fad070a1316f840,experiments/persist_eeg_matched_identity_causal_v1_2; experiments/persist_eeg_final_closure_repair_v1,identity interpretation is metric-bounded,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,IDENTITY_INTERPRETATION_BOUNDED,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,AUTHORITATIVE_SUPPORTING,True
E shared geometry / causal geometry,codex/persist-eeg-p4-shared-geometry; codex/persist-eeg-p4-signed-v3-1,c7e68c18301da6c04100686f59e9523b1d7d9575,experiments/persist_eeg_p4_shared_geometry; experiments/persist_eeg_p4_signed_v3_1,bounded geometry premise,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,SHARED_GEOMETRY_V1_2_PASS,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,AUTHORITATIVE_SUPPORTING,True
F PERSIST-PB / PERSIST-SI,codex/persist-eeg-p3-p4; codex/persist-eeg-p4-selective-invariance,37dce5fb6035422f063316b774b5197b6626a029; bb38e10e562fabaf99b4bfaed106ec0321fd23b8,experiments/persist_eeg_p3closure_p4; experiments/persist_eeg_p4_selective_invariance,selective intervention gates failed,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,P4_SELECTIVE_INVARIANCE_NOT_SUPPORTED,artifact audit required,yes,PAG closure or later repaired artifact,see cited artifact,bounded by role,NEGATIVE_AUTHORITATIVE,True
G protected / nuisance / GRL,codex/persist-eeg-p4c-suppression-safety-validation-v1; codex/persist-eeg-p4d-method-level-bridge-v1,57d5e4f1ae0a7c80d95ca27983fedad2ec3f690c; cc4b6bb3dc9f5182a80b1c658ccb2c278d397226,experiments/persist_eeg_p4c_suppression_safety_validation_v1; experiments/persist_eeg_p4d_method_level_bridge_v1,nuisance suppression did not certify transfer,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,SAFETY_OR_ACTIONABILITY_GATE_NOT_SUPPORTED,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,NEGATIVE_AUTHORITATIVE,True
H PERSIST-Net,codex/persist-eeg-persist-net-final-v1,12ab811c2a6194192b430f9c010781acd1c0379f,experiments/persist_eeg_persist_net_final_v1,protected mechanism without BA gain,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,PERSIST_NET_CONSTRUCTIVE_HYPOTHESIS_NOT_SUPPORTED,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,NEGATIVE_AUTHORITATIVE,True
I PUD / PUD-Aux,codex/persist-eeg-final-failure-localization-and-aux-v1; codex/persist-eeg-final-closure-repair-v1,3366d419cfd5d26e88f5de3d751199d9068b649e; 3b519a138fe5074858717c70b611926fd3708f75,experiments/persist_eeg_final_failure_localization_and_aux_v1; experiments/persist_eeg_final_closure_repair_v1,matched development BA declined,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,PUD_AUX_CONSTRUCTIVE_HYPOTHESIS_NOT_SUPPORTED,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,NEGATIVE_AUTHORITATIVE,True
J SSPG / prospective gradient signal,codex/persist-eeg-stable-subject-prospective-guard-seed0-v1,07b9ef907f432c537f4f19e71bce07d73d5c819f; 78f5f212c66fa3b49d5f374d250c0c632926ef26,experiments/persist_eeg_stable_subject_prospective_guard_seed0_v1; experiments/persist_eeg_cumulative_subject_decision_drift_audit_v1,seed-0/source-only bounded signal,see cited frozen protocol,OpenBMI/WBCIC development unless artifact says otherwise,persistence/consequence/actionability,EEGNet or frozen roster,protocol-specific,sealed/outer not used,BA and mechanism metrics,PROSPECTIVE_SIGNAL_NOT_ACTIONABLE_OR_UNCERTAIN,artifact audit required,no,PAG closure or later repaired artifact,see cited artifact,bounded by role,AUTHORITATIVE_SUPPORTING,True
