model,task,fold,seed,status,rank,intersection_rank,overlap_fraction,jaccard,exact_same_selection,PU_block_ids,Uonly_block_ids,shared_block_ids
CBraMod,OpenBMI_MI,1,2,ESTIMABLE,4,0,0.0,0.0,False,4,5,
CBraMod,OpenBMI_MI,3,0,ESTIMABLE,4,4,1.0,1.0,True,2,2,2
CBraMod,OpenBMI_MI,3,1,ESTIMABLE,4,4,1.0,1.0,True,1,1,1
CBraMod,OpenBMI_MI,4,0,ESTIMABLE,4,4,1.0,1.0,True,2,2,2
CBraMod,OpenBMI_ERP,0,0,ESTIMABLE,4,4,1.0,1.0,True,5,5,5
CBraMod,OpenBMI_ERP,0,1,ESTIMABLE,5,5,1.0,1.0,True,1;4,1;4,1;4
CBraMod,OpenBMI_ERP,0,2,ESTIMABLE,8,4,0.5,0.3333333333333333,False,5;6,5;7,5
CBraMod,OpenBMI_ERP,1,1,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
CBraMod,OpenBMI_ERP,1,2,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
CBraMod,OpenBMI_ERP,2,0,ESTIMABLE,5,1,0.2,0.1111111111111111,False,2;4,0;2;5,2
CBraMod,OpenBMI_ERP,3,0,ESTIMABLE,4,0,0.0,0.0,False,3,5,
CBraMod,OpenBMI_ERP,3,1,ESTIMABLE,4,4,1.0,1.0,True,5,5,5
CBraMod,OpenBMI_ERP,3,2,ESTIMABLE,9,9,1.0,1.0,True,2;4;5,2;4;5,2;4;5
CBraMod,OpenBMI_ERP,4,0,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
CBraMod,OpenBMI_ERP,4,1,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
CBraMod,OpenBMI_ERP,4,2,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
CBraMod,OpenBMI_SSVEP,0,1,ESTIMABLE,3,3,1.0,1.0,True,1,1,1
CBraMod,OpenBMI_SSVEP,0,2,ESTIMABLE,4,4,1.0,1.0,True,1,1,1
CBraMod,OpenBMI_SSVEP,1,2,ESTIMABLE,3,3,1.0,1.0,True,1,1,1
CBraMod,OpenBMI_SSVEP,2,1,ESTIMABLE,3,3,1.0,1.0,True,1,1,1
CBraMod,OpenBMI_SSVEP,3,1,ESTIMABLE,4,4,1.0,1.0,True,1,1,1
CBraMod,OpenBMI_SSVEP,3,2,ESTIMABLE,2,2,1.0,1.0,True,2,2,2
CBraMod,OpenBMI_SSVEP,4,0,ESTIMABLE,3,3,1.0,1.0,True,1,1,1
CBraMod,OpenBMI_SSVEP,4,1,ESTIMABLE,3,3,1.0,1.0,True,1,1,1
CBraMod,WBCIC_MI,0,1,ESTIMABLE,4,4,1.0,1.0,True,0,0,0
CBraMod,WBCIC_MI,0,2,ESTIMABLE,4,4,1.0,1.0,True,0,0,0
CBraMod,WBCIC_MI,1,0,ESTIMABLE,4,4,1.0,1.0,True,1,1,1
CBraMod,WBCIC_MI,1,1,ESTIMABLE,4,4,1.0,1.0,True,0,0,0
CBraMod,WBCIC_MI,2,0,ESTIMABLE,4,4,1.0,1.0,True,1,1,1
CBraMod,WBCIC_MI,2,1,ESTIMABLE,1,1,1.0,1.0,True,2,2,2
CBraMod,WBCIC_MI,3,0,ESTIMABLE,4,4,1.0,1.0,True,0,0,0
CBraMod,WBCIC_MI,3,1,ESTIMABLE,4,4,1.0,1.0,True,0,0,0
CBraMod,WBCIC_MI,3,2,ESTIMABLE,4,4,1.0,1.0,True,0,0,0
CBraMod,WBCIC_MI,4,2,ESTIMABLE,1,1,1.0,1.0,True,1,1,1
TeCh,OpenBMI_MI,0,0,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
TeCh,OpenBMI_MI,0,1,ESTIMABLE,4,4,1.0,1.0,True,2,2,2
TeCh,OpenBMI_MI,0,2,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
TeCh,OpenBMI_MI,1,0,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
TeCh,OpenBMI_MI,1,1,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
TeCh,OpenBMI_MI,1,2,ESTIMABLE,8,8,1.0,1.0,True,4;5,4;5,4;5
TeCh,OpenBMI_MI,2,0,ESTIMABLE,8,8,1.0,1.0,True,5;6,5;6,5;6
TeCh,OpenBMI_MI,2,2,ESTIMABLE,4,4,1.0,1.0,True,2,2,2
TeCh,OpenBMI_MI,3,0,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
TeCh,OpenBMI_MI,3,1,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
TeCh,OpenBMI_MI,3,2,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
TeCh,OpenBMI_MI,4,0,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
TeCh,OpenBMI_MI,4,1,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
TeCh,OpenBMI_MI,4,2,ESTIMABLE,4,4,1.0,1.0,True,2,2,2
TeCh,OpenBMI_ERP,0,0,ESTIMABLE,8,8,1.0,1.0,True,4;5,4;5,4;5
TeCh,OpenBMI_ERP,0,1,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
TeCh,OpenBMI_ERP,0,2,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
TeCh,OpenBMI_ERP,1,0,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
TeCh,OpenBMI_ERP,1,1,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
TeCh,OpenBMI_ERP,1,2,ESTIMABLE,7,7,1.0,1.0,True,2;3,2;3,2;3
TeCh,OpenBMI_ERP,2,0,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
TeCh,OpenBMI_ERP,2,1,ESTIMABLE,4,4,1.0,1.0,True,5,5,5
TeCh,OpenBMI_ERP,2,2,ESTIMABLE,8,8,1.0,1.0,True,5;6,5;6,5;6
TeCh,OpenBMI_ERP,3,0,ESTIMABLE,7,7,1.0,1.0,True,4;5,4;5,4;5
TeCh,OpenBMI_ERP,3,1,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
TeCh,OpenBMI_ERP,3,2,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
TeCh,OpenBMI_ERP,4,0,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
TeCh,OpenBMI_ERP,4,1,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
TeCh,OpenBMI_ERP,4,2,ESTIMABLE,6,6,1.0,1.0,True,3;4,3;4,3;4
TeCh,OpenBMI_SSVEP,0,0,ESTIMABLE,4,4,1.0,1.0,True,5,5,5
TeCh,OpenBMI_SSVEP,0,1,ESTIMABLE,8,4,0.5,0.3333333333333333,False,4;5,5;6,5
TeCh,OpenBMI_SSVEP,0,2,ESTIMABLE,8,8,1.0,1.0,True,4;5,4;5,4;5
TeCh,OpenBMI_SSVEP,1,0,ESTIMABLE,12,12,1.0,1.0,True,3;4;5,3;4;5,3;4;5
TeCh,OpenBMI_SSVEP,1,1,ESTIMABLE,8,4,0.5,0.3333333333333333,False,3;4,4;5,4
TeCh,OpenBMI_SSVEP,1,2,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
TeCh,OpenBMI_SSVEP,2,0,ESTIMABLE,4,0,0.0,0.0,False,4,5,
TeCh,OpenBMI_SSVEP,2,1,ESTIMABLE,4,0,0.0,0.0,False,4,5,
TeCh,OpenBMI_SSVEP,2,2,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
TeCh,OpenBMI_SSVEP,3,0,ESTIMABLE,8,4,0.5,0.3333333333333333,False,3;4,4;5,4
TeCh,OpenBMI_SSVEP,3,1,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
TeCh,OpenBMI_SSVEP,3,2,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
TeCh,OpenBMI_SSVEP,4,0,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
TeCh,OpenBMI_SSVEP,4,1,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
TeCh,OpenBMI_SSVEP,4,2,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
TeCh,WBCIC_MI,0,0,ESTIMABLE,4,4,1.0,1.0,True,0,0,0
TeCh,WBCIC_MI,0,1,ESTIMABLE,2,2,1.0,1.0,True,2,2,2
TeCh,WBCIC_MI,0,2,ESTIMABLE,4,4,1.0,1.0,True,2,2,2
TeCh,WBCIC_MI,1,0,ESTIMABLE,4,4,1.0,1.0,True,2,2,2
TeCh,WBCIC_MI,1,1,ESTIMABLE,8,8,1.0,1.0,True,1;2,1;2,1;2
TeCh,WBCIC_MI,1,2,ESTIMABLE,4,4,1.0,1.0,True,1,1,1
TeCh,WBCIC_MI,2,0,ESTIMABLE,8,8,1.0,1.0,True,2;3,2;3,2;3
TeCh,WBCIC_MI,2,1,ESTIMABLE,4,4,1.0,1.0,True,2,2,2
TeCh,WBCIC_MI,2,2,ESTIMABLE,8,8,1.0,1.0,True,1;2,1;2,1;2
TeCh,WBCIC_MI,3,0,ESTIMABLE,4,4,1.0,1.0,True,0,0,0
TeCh,WBCIC_MI,3,1,ESTIMABLE,3,3,1.0,1.0,True,0,0,0
TeCh,WBCIC_MI,3,2,ESTIMABLE,4,4,1.0,1.0,True,0,0,0
TeCh,WBCIC_MI,4,0,ESTIMABLE,4,4,1.0,1.0,True,1,1,1
TeCh,WBCIC_MI,4,1,ESTIMABLE,8,8,1.0,1.0,True,1;2,1;2,1;2
TeCh,WBCIC_MI,4,2,ESTIMABLE,4,4,1.0,1.0,True,2,2,2
ModernTCN,OpenBMI_MI,1,1,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
ModernTCN,OpenBMI_MI,1,2,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
ModernTCN,OpenBMI_MI,2,0,ESTIMABLE,1,1,1.0,1.0,True,0,0,0
ModernTCN,OpenBMI_MI,2,1,ESTIMABLE,1,1,1.0,1.0,True,0,0,0
ModernTCN,OpenBMI_MI,2,2,ESTIMABLE,1,1,1.0,1.0,True,0,0,0
ModernTCN,OpenBMI_MI,3,2,ESTIMABLE,1,1,1.0,1.0,True,1,1,1
ModernTCN,OpenBMI_MI,4,1,ESTIMABLE,4,4,1.0,1.0,True,5,5,5
ModernTCN,OpenBMI_ERP,0,0,ESTIMABLE,2,2,1.0,1.0,True,3;4,3;4,3;4
ModernTCN,OpenBMI_ERP,0,1,ESTIMABLE,2,2,1.0,1.0,True,3,3,3
ModernTCN,OpenBMI_ERP,0,2,ESTIMABLE,2,2,1.0,1.0,True,3;4,3;4,3;4
ModernTCN,OpenBMI_ERP,1,0,ESTIMABLE,3,3,1.0,1.0,True,2;3,2;3,2;3
ModernTCN,OpenBMI_ERP,1,1,ESTIMABLE,3,3,1.0,1.0,True,2;3;4,2;3;4,2;3;4
ModernTCN,OpenBMI_ERP,1,2,ESTIMABLE,7,7,1.0,1.0,True,3;4,3;4,3;4
ModernTCN,OpenBMI_ERP,2,0,ESTIMABLE,1,1,1.0,1.0,True,4,4,4
ModernTCN,OpenBMI_ERP,2,1,ESTIMABLE,3,3,1.0,1.0,True,3,3,3
ModernTCN,OpenBMI_ERP,2,2,ESTIMABLE,2,2,1.0,1.0,True,4,4,4
ModernTCN,OpenBMI_ERP,3,0,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
ModernTCN,OpenBMI_ERP,3,1,ESTIMABLE,5,5,1.0,1.0,True,3;4,3;4,3;4
ModernTCN,OpenBMI_ERP,3,2,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
ModernTCN,OpenBMI_ERP,4,0,ESTIMABLE,10,10,1.0,1.0,True,2;3;4,2;3;4,2;3;4
ModernTCN,OpenBMI_ERP,4,1,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
ModernTCN,OpenBMI_ERP,4,2,ESTIMABLE,2,2,1.0,1.0,True,2,2,2
ModernTCN,OpenBMI_SSVEP,0,0,ESTIMABLE,4,4,1.0,1.0,True,1;2,1;2,1;2
ModernTCN,OpenBMI_SSVEP,0,1,ESTIMABLE,6,6,1.0,1.0,True,1;2,1;2,1;2
ModernTCN,OpenBMI_SSVEP,0,2,ESTIMABLE,4,4,1.0,1.0,True,1;2,1;2,1;2
ModernTCN,OpenBMI_SSVEP,1,0,ESTIMABLE,3,3,1.0,1.0,True,1;2;3,1;2;3,1;2;3
ModernTCN,OpenBMI_SSVEP,1,1,ESTIMABLE,4,4,1.0,1.0,True,1;2;3,1;2;3,1;2;3
ModernTCN,OpenBMI_SSVEP,1,2,ESTIMABLE,3,3,1.0,1.0,True,1;2;3,1;2;3,1;2;3
ModernTCN,OpenBMI_SSVEP,2,0,ESTIMABLE,5,5,1.0,1.0,True,2;3,2;3,2;3
ModernTCN,OpenBMI_SSVEP,2,1,ESTIMABLE,4,4,1.0,1.0,True,2;3,2;3,2;3
ModernTCN,OpenBMI_SSVEP,2,2,ESTIMABLE,3,3,1.0,1.0,True,2;3,2;3,2;3
ModernTCN,OpenBMI_SSVEP,3,0,ESTIMABLE,7,7,1.0,1.0,True,2;3;4,2;3;4,2;3;4
ModernTCN,OpenBMI_SSVEP,3,1,ESTIMABLE,5,5,1.0,1.0,True,2;3,2;3,2;3
ModernTCN,OpenBMI_SSVEP,3,2,ESTIMABLE,7,7,1.0,1.0,True,2;3;4,2;3;4,2;3;4
ModernTCN,OpenBMI_SSVEP,4,0,ESTIMABLE,4,4,1.0,1.0,True,1;3;4;5,1;3;4;5,1;3;4;5
ModernTCN,OpenBMI_SSVEP,4,1,ESTIMABLE,3,3,1.0,1.0,True,1;2;3,1;2;3,1;2;3
ModernTCN,OpenBMI_SSVEP,4,2,ESTIMABLE,3,3,1.0,1.0,True,1;3,1;3,1;3
ModernTCN,WBCIC_MI,1,0,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
ModernTCN,WBCIC_MI,2,0,ESTIMABLE,1,1,1.0,1.0,True,2,2,2
ModernTCN,WBCIC_MI,2,1,ESTIMABLE,2,2,1.0,1.0,True,2;4,2;4,2;4
ModernTCN,WBCIC_MI,2,2,ESTIMABLE,1,1,1.0,1.0,True,2,2,2
ModernTCN,WBCIC_MI,4,0,ESTIMABLE,1,1,1.0,1.0,True,2,2,2
ModernTCN,WBCIC_MI,4,1,ESTIMABLE,2,2,1.0,1.0,True,3,3,3
ModernTCN,WBCIC_MI,4,2,ESTIMABLE,5,5,1.0,1.0,True,3;5,3;5,3;5
Medformer,OpenBMI_MI,0,0,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
Medformer,OpenBMI_MI,0,1,ESTIMABLE,3,3,1.0,1.0,True,5,5,5
Medformer,OpenBMI_MI,0,2,ESTIMABLE,3,3,1.0,1.0,True,3;4,3;4,3;4
Medformer,OpenBMI_MI,1,0,ESTIMABLE,3,3,1.0,1.0,True,5,5,5
Medformer,OpenBMI_MI,1,1,ESTIMABLE,2,2,1.0,1.0,True,5,5,5
Medformer,OpenBMI_MI,1,2,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
Medformer,OpenBMI_MI,2,0,ESTIMABLE,4,4,1.0,1.0,True,5,5,5
Medformer,OpenBMI_MI,2,1,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
Medformer,OpenBMI_MI,2,2,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
Medformer,OpenBMI_MI,3,0,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
Medformer,OpenBMI_MI,3,1,ESTIMABLE,3,3,1.0,1.0,True,4;5,4;5,4;5
Medformer,OpenBMI_MI,3,2,ESTIMABLE,2,2,1.0,1.0,True,3,3,3
Medformer,OpenBMI_MI,4,0,ESTIMABLE,2,2,1.0,1.0,True,3,3,3
Medformer,OpenBMI_MI,4,1,ESTIMABLE,3,3,1.0,1.0,True,2,2,2
Medformer,OpenBMI_MI,4,2,ESTIMABLE,5,5,1.0,1.0,True,3;4,3;4,3;4
Medformer,OpenBMI_ERP,0,0,ESTIMABLE,5,5,1.0,1.0,True,2;5,2;5,2;5
Medformer,OpenBMI_ERP,0,1,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
Medformer,OpenBMI_ERP,0,2,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
Medformer,OpenBMI_ERP,1,0,ESTIMABLE,8,8,1.0,1.0,True,4;5,4;5,4;5
Medformer,OpenBMI_ERP,1,1,ESTIMABLE,8,8,1.0,1.0,True,5;6,5;6,5;6
Medformer,OpenBMI_ERP,1,2,ESTIMABLE,9,9,1.0,1.0,True,3;4;5,3;4;5,3;4;5
Medformer,OpenBMI_ERP,2,0,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
Medformer,OpenBMI_ERP,2,1,ESTIMABLE,4,4,1.0,1.0,True,6,6,6
Medformer,OpenBMI_ERP,2,2,ESTIMABLE,4,4,1.0,1.0,True,5,5,5
Medformer,OpenBMI_ERP,3,0,ESTIMABLE,5,4,0.8,0.6666666666666666,False,2;4,4;7,4
Medformer,OpenBMI_ERP,3,2,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
Medformer,OpenBMI_ERP,4,0,ESTIMABLE,6,6,1.0,1.0,True,4;5,4;5,4;5
Medformer,OpenBMI_ERP,4,1,ESTIMABLE,8,8,1.0,1.0,True,4;5,4;5,4;5
Medformer,OpenBMI_ERP,4,2,ESTIMABLE,8,8,1.0,1.0,True,5;6,5;6,5;6
Medformer,OpenBMI_SSVEP,0,0,ESTIMABLE,8,8,1.0,1.0,True,2;3,2;3,2;3
Medformer,OpenBMI_SSVEP,0,1,ESTIMABLE,8,8,1.0,1.0,True,2;3,2;3,2;3
Medformer,OpenBMI_SSVEP,0,2,ESTIMABLE,7,7,1.0,1.0,True,3;4,3;4,3;4
Medformer,OpenBMI_SSVEP,1,0,ESTIMABLE,6,6,1.0,1.0,True,3;4,3;4,3;4
Medformer,OpenBMI_SSVEP,1,1,ESTIMABLE,7,7,1.0,1.0,True,3;4,3;4,3;4
Medformer,OpenBMI_SSVEP,1,2,ESTIMABLE,7,7,1.0,1.0,True,3;4,3;4,3;4
Medformer,OpenBMI_SSVEP,2,0,ESTIMABLE,6,6,1.0,1.0,True,4;5,4;5,4;5
Medformer,OpenBMI_SSVEP,2,1,ESTIMABLE,8,8,1.0,1.0,True,2;3,2;3,2;3
Medformer,OpenBMI_SSVEP,2,2,ESTIMABLE,8,8,1.0,1.0,True,4;5,4;5,4;5
Medformer,OpenBMI_SSVEP,3,0,ESTIMABLE,8,8,1.0,1.0,True,2;3,2;3,2;3
Medformer,OpenBMI_SSVEP,3,1,ESTIMABLE,4,4,1.0,1.0,True,2,2,2
Medformer,OpenBMI_SSVEP,3,2,ESTIMABLE,4,4,1.0,1.0,True,2,2,2
Medformer,OpenBMI_SSVEP,4,0,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
Medformer,OpenBMI_SSVEP,4,1,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
Medformer,OpenBMI_SSVEP,4,2,ESTIMABLE,8,8,1.0,1.0,True,3;4,3;4,3;4
Medformer,WBCIC_MI,0,0,ESTIMABLE,4,4,1.0,1.0,True,2,2,2
Medformer,WBCIC_MI,0,1,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
Medformer,WBCIC_MI,0,2,ESTIMABLE,4,4,1.0,1.0,True,2;3,2;3,2;3
Medformer,WBCIC_MI,1,0,ESTIMABLE,2,2,1.0,1.0,True,4;5,4;5,4;5
Medformer,WBCIC_MI,1,1,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
Medformer,WBCIC_MI,1,2,ESTIMABLE,1,1,1.0,1.0,True,4,4,4
Medformer,WBCIC_MI,2,0,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
Medformer,WBCIC_MI,2,1,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
Medformer,WBCIC_MI,2,2,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
Medformer,WBCIC_MI,3,0,ESTIMABLE,4,4,1.0,1.0,True,2,2,2
Medformer,WBCIC_MI,3,1,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
Medformer,WBCIC_MI,4,0,ESTIMABLE,4,4,1.0,1.0,True,4,4,4
Medformer,WBCIC_MI,4,1,ESTIMABLE,3,3,1.0,1.0,True,5,5,5
Medformer,WBCIC_MI,4,2,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
EEGConformer,OpenBMI_MI,0,0,ESTIMABLE,1,1,1.0,1.0,True,2,2,2
EEGConformer,OpenBMI_MI,0,1,ESTIMABLE,5,5,1.0,1.0,True,3;4,3;4,3;4
EEGConformer,OpenBMI_MI,0,2,ESTIMABLE,3,3,1.0,1.0,True,1;2,1;2,1;2
EEGConformer,OpenBMI_MI,1,0,ESTIMABLE,5,5,1.0,1.0,True,2;3,2;3,2;3
EEGConformer,OpenBMI_MI,1,1,ESTIMABLE,4,4,1.0,1.0,True,3,3,3
EEGConformer,OpenBMI_MI,1,2,ESTIMABLE,5,5,1.0,1.0,True,2;3,2;3,2;3
