model,task,fold,seed,status,active_rank,k,PU_rank,U_only_rank,P_only_rank,random_exact_rank,pass
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_MI,0,2,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,20,3,3,3,3,True,True
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,20,6,6,6,6,True,True
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,20,8,8,8,8,True,True
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,20,5,5,5,5,True,True
EEGNet,OpenBMI_MI,4,0,ESTIMABLE,20,5,5,5,5,True,True
EEGNet,OpenBMI_MI,4,1,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_MI,4,2,ESTIMABLE,20,3,3,3,3,True,True
EEGNet,OpenBMI_ERP,0,0,ESTIMABLE,20,6,6,6,6,True,True
EEGNet,OpenBMI_ERP,0,1,ESTIMABLE,20,8,8,8,8,True,True
EEGNet,OpenBMI_ERP,0,2,ESTIMABLE,20,8,8,8,8,True,True
EEGNet,OpenBMI_ERP,1,0,ESTIMABLE,20,9,9,9,9,True,True
EEGNet,OpenBMI_ERP,1,1,ESTIMABLE,20,6,6,6,6,True,True
EEGNet,OpenBMI_ERP,1,2,ESTIMABLE,20,8,8,8,8,True,True
EEGNet,OpenBMI_ERP,2,0,ESTIMABLE,20,8,8,8,8,True,True
EEGNet,OpenBMI_ERP,2,1,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_ERP,2,2,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_ERP,3,0,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_ERP,3,1,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_ERP,3,2,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_ERP,4,0,ESTIMABLE,20,5,5,5,5,True,True
EEGNet,OpenBMI_ERP,4,1,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_ERP,4,2,ESTIMABLE,20,8,8,8,8,True,True
EEGNet,OpenBMI_SSVEP,0,0,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_SSVEP,0,1,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_SSVEP,0,2,ESTIMABLE,20,8,8,8,8,True,True
EEGNet,OpenBMI_SSVEP,1,0,ESTIMABLE,20,8,8,8,8,True,True
EEGNet,OpenBMI_SSVEP,1,1,ESTIMABLE,20,12,12,12,12,True,True
EEGNet,OpenBMI_SSVEP,1,2,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_SSVEP,2,0,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_SSVEP,2,1,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_SSVEP,2,2,ESTIMABLE,20,8,8,8,8,True,True
EEGNet,OpenBMI_SSVEP,3,0,ESTIMABLE,20,8,8,8,8,True,True
EEGNet,OpenBMI_SSVEP,3,1,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,OpenBMI_SSVEP,3,2,ESTIMABLE,20,8,8,8,8,True,True
EEGNet,OpenBMI_SSVEP,4,0,ESTIMABLE,20,8,8,8,8,True,True
EEGNet,OpenBMI_SSVEP,4,1,ESTIMABLE,20,8,8,8,8,True,True
EEGNet,OpenBMI_SSVEP,4,2,ESTIMABLE,20,9,9,9,9,True,True
EEGNet,WBCIC_MI,0,0,ESTIMABLE,20,2,2,2,2,True,True
EEGNet,WBCIC_MI,0,1,ESTIMABLE,20,1,1,1,1,True,True
EEGNet,WBCIC_MI,0,2,ESTIMABLE,20,3,3,3,3,True,True
EEGNet,WBCIC_MI,1,0,ESTIMABLE,20,2,2,2,2,True,True
EEGNet,WBCIC_MI,1,1,ESTIMABLE,20,2,2,2,2,True,True
EEGNet,WBCIC_MI,1,2,ESTIMABLE,20,2,2,2,2,True,True
EEGNet,WBCIC_MI,2,0,ESTIMABLE,20,3,3,3,3,True,True
EEGNet,WBCIC_MI,2,1,ESTIMABLE,20,3,3,3,3,True,True
EEGNet,WBCIC_MI,2,2,ESTIMABLE,20,4,4,4,4,True,True
EEGNet,WBCIC_MI,3,0,ESTIMABLE,20,2,2,2,2,True,True
EEGNet,WBCIC_MI,3,1,ESTIMABLE,20,1,1,1,1,True,True
EEGNet,WBCIC_MI,3,2,ESTIMABLE,20,1,1,1,1,True,True
EEGNet,WBCIC_MI,4,0,ESTIMABLE,20,1,1,1,1,True,True
EEGNet,WBCIC_MI,4,1,ESTIMABLE,20,2,2,2,2,True,True
EEGNet,WBCIC_MI,4,2,ESTIMABLE,20,3,3,3,3,True,True
CBraMod,OpenBMI_MI,0,0,EMPTY_PU,17,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_MI,0,1,ESTIMABLE,20,4,4,4,4,True,True
CBraMod,OpenBMI_MI,0,2,EMPTY_PU,17,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_MI,1,0,ESTIMABLE,15,4,4,4,4,True,True
CBraMod,OpenBMI_MI,1,1,EMPTY_PU,14,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_MI,1,2,ESTIMABLE,20,4,4,4,4,True,True
CBraMod,OpenBMI_MI,2,0,EMPTY_PU,4,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_MI,2,1,EMPTY_PU,9,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_MI,2,2,EMPTY_PU,9,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_MI,3,0,ESTIMABLE,6,4,4,4,4,True,True
CBraMod,OpenBMI_MI,3,1,ESTIMABLE,5,4,4,4,4,True,True
CBraMod,OpenBMI_MI,3,2,EMPTY_PU,16,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_MI,4,0,ESTIMABLE,8,4,4,4,4,True,True
CBraMod,OpenBMI_MI,4,1,EMPTY_PU,13,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_MI,4,2,EMPTY_PU,6,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_ERP,0,0,ESTIMABLE,18,4,4,4,4,True,True
CBraMod,OpenBMI_ERP,0,1,ESTIMABLE,19,5,5,5,5,True,True
CBraMod,OpenBMI_ERP,0,2,ESTIMABLE,20,8,8,8,8,True,True
CBraMod,OpenBMI_ERP,1,0,EMPTY_PU,15,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_ERP,1,1,ESTIMABLE,18,4,4,4,4,True,True
CBraMod,OpenBMI_ERP,1,2,ESTIMABLE,16,4,4,4,4,True,True
CBraMod,OpenBMI_ERP,2,0,ESTIMABLE,15,5,5,5,5,True,True
CBraMod,OpenBMI_ERP,2,1,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_ERP,2,2,EMPTY_PU,15,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_ERP,3,0,ESTIMABLE,20,4,4,4,4,True,True
CBraMod,OpenBMI_ERP,3,1,ESTIMABLE,20,4,4,4,4,True,True
CBraMod,OpenBMI_ERP,3,2,ESTIMABLE,20,9,9,9,9,True,True
CBraMod,OpenBMI_ERP,4,0,ESTIMABLE,17,4,4,4,4,True,True
CBraMod,OpenBMI_ERP,4,1,ESTIMABLE,12,4,4,4,4,True,True
CBraMod,OpenBMI_ERP,4,2,ESTIMABLE,17,4,4,4,4,True,True
CBraMod,OpenBMI_SSVEP,0,0,EMPTY_PU,5,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_SSVEP,0,1,ESTIMABLE,4,3,3,3,3,True,True
CBraMod,OpenBMI_SSVEP,0,2,ESTIMABLE,5,4,4,4,4,True,True
CBraMod,OpenBMI_SSVEP,1,0,EMPTY_PU,6,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_SSVEP,1,1,EMPTY_PU,7,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_SSVEP,1,2,ESTIMABLE,7,3,3,3,3,True,True
CBraMod,OpenBMI_SSVEP,2,0,EMPTY_PU,7,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_SSVEP,2,1,ESTIMABLE,5,3,3,3,3,True,True
CBraMod,OpenBMI_SSVEP,2,2,EMPTY_PU,6,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_SSVEP,3,0,EMPTY_PU,5,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,OpenBMI_SSVEP,3,1,ESTIMABLE,5,4,4,4,4,True,True
CBraMod,OpenBMI_SSVEP,3,2,ESTIMABLE,7,2,2,2,2,True,True
CBraMod,OpenBMI_SSVEP,4,0,ESTIMABLE,4,3,3,3,3,True,True
CBraMod,OpenBMI_SSVEP,4,1,ESTIMABLE,5,3,3,3,3,True,True
CBraMod,OpenBMI_SSVEP,4,2,EMPTY_PU,8,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,WBCIC_MI,0,0,EMPTY_PU,4,0,0,0,0,NOT_ESTIMABLE,True
CBraMod,WBCIC_MI,0,1,ESTIMABLE,5,4,4,4,4,True,True
